location	entries	exits	latitude	longitude
57 st	18624818	7906650	40.763972	-73.97745
49 st	14649122	51596294	40.759901	-73.984139
times sq	1891990605	1428196760	40.754672	-73.986754
34 st	1569344967	2048251086	40.749567	-73.98795
28 st	1428035637	1880724469	40.745494	-73.988691
23 st	1999331544	1931579576	40.741303	-73.989344
14 st	2129458754	1510999918	40.740893	-74.00169
prince st	13616611	11619686	40.724329	-73.997702
canal st	1724225235	2030993839	40.719527	-74.001775
city hall	184945204	17211595	40.713282	-74.006978
cortlandt st	1058666437	871585226	40.710668	-74.011029
rector st	117698102	16840117	40.70722	-74.013342
bowery	2090689	2777345	40.72028	-73.993915
chambers st	2115780978	1800159612	40.713243	-74.003401
fulton st	1662251652	1762910783	40.710374	-74.007582
broad st	6250234	5485463	40.706476	-74.011056
7 av	1835056104	772977130	40.67705	-73.972367
botanic garden	5324043	1959934	40.670343	-73.959245
prospect park	1568637514	1568587770	40.661614	-73.962246
parkside av	5017230	7851275	40.655292	-73.961495
church av	856042493	1577547124	40.650527	-73.962982
cortelyou rd	5694562	2559302	40.640927	-73.963891
newkirk plaza	17002415	16916140	40.635082	-73.962793
avenue h	117440636	658979	40.62927	-73.961639
avenue j	9913787	9264478	40.625039	-73.960803
avenue m	100662808	1484263	40.617618	-73.959399
kings hwy	755629162	763625296	40.60867	-73.957734
avenue u	134303673	16777278	40.5993	-73.955929
neck rd	100662774	16883373	40.595246	-73.955161
sheepshead bay	12976137	18259396	40.586896	-73.954155
brighton beach	14569478	12924976	40.577621	-73.961376
ocean pkwy	5898547	5898262	40.576312	-73.968501
borough hall	101093680	14519327	40.693219	-73.989998
dekalb av	1927347120	1141434496	40.690635	-73.981824
atl av	654312019	134263112	40.683666	-73.97881
union st	10649114	12486255	40.677316	-73.98311
prospect av	12850290	12813007	40.665414	-73.992872
25 st	10353767	7573411	40.660397	-73.998091
36 st	100988193	6896702	40.655144	-74.003549
45 st	3645908	7070894	40.648939	-74.010006
53 st	100685939	134032494	40.645069	-74.014034
bay ridge av	7929966	4778859	40.634967	-74.023377
77 st	140301609	24583817	40.629742	-74.02551
86 st	972946463	1876155123	40.622687	-74.028398
8 av	56802127	19799808	40.635064	-74.011719
new utrecht av	2439627	2697270	40.624842	-73.996353
18 av	1675034621	806879314	40.607954	-74.001736
20 av	6811475	6737265	40.604556	-73.998168
bay pkwy	775517814	1698333547	40.601875	-73.993728
9 av	11041226	11008011	40.646292	-73.994324
50 st	13525190	26415591	40.63626	-73.994791
55 st	4741291	5013914	40.631435	-73.995476
71 st	8429824	7923046	40.619589	-73.998864
79 st	66952732	117154615	40.613501	-74.00061
25 av	2935389	3009375	40.597704	-73.986829
bay 50 st	6663334	7386597	40.588841	-73.983765
6 av	1209855735	1200580928	40.737335	-73.996786
3 av	1943014820	1476795634	40.732849	-73.986122
1 av	955278273	998667482	40.730953	-73.981628
bedford av	23669158	29673244	40.717304	-73.956872
lorimer st	8729957	1948738	40.703869	-73.947408
graham av	14010405	11221092	40.714565	-73.944053
grand st	238539181	1407080036	40.711926	-73.94067
montrose av	134689320	7150861	40.707739	-73.93985
morgan av	2506575	979134	40.706152	-73.933147
jefferson st	8376506	7106207	40.706607	-73.922913
halsey st	73406398	34487797	40.68637	-73.916559
wilson av	7589304	6104108	40.688764	-73.904046
sutter av	8611551	8606804	40.669367	-73.901975
livonia av	6072095	3303620	40.664038	-73.900571
marcy av	117440923	7917926	40.708359	-73.957757
hewes st	7943576	7904104	40.70687	-73.953431
flushing av	16370624	16294767	40.70026	-73.941126
myrtle av	13339793	22005306	40.697207	-73.935657
kosciuszko st	7137309	3690086	40.693342	-73.928814
gates av	3266359	3981543	40.68963	-73.92227
chauncey st	5553762	2119162	40.682893	-73.910456
alabama av	5000957	6065328	40.676992	-73.898654
van siclen av	6537470	8240182	40.678024	-73.891688
cleveland st	622035	348253	40.679947	-73.884639
norwood av	4527876	6874570	40.68141	-73.880039
crescent st	10862475	7235745	40.683194	-73.873785
cypress hills	4201541	2284621	40.689941	-73.87255
75 st	5760927	4259414	40.691324	-73.867139
woodhaven blvd	33554682	11506461	40.693879	-73.851576
104 st	2025743306	1907404147	40.695178	-73.84433
121 st	1945732721	520146746	40.700492	-73.828294
central av	1894247	3126665	40.697857	-73.927397
fresh pond rd	14192709	5689494	40.706186	-73.895877
metropolitan av	150995047	16200191	40.712792	-73.951418
dyckman st	12781231	10894098	40.865491	-73.927271
190 st	1438353808	1844192204	40.859022	-73.93418
181 st	15105715	18938846	40.851695	-73.937969
175 st	218315120	285500965	40.847391	-73.939704
168 st	53018636	22282883	40.840719	-73.939561
155 st	7503511	6457563	40.830518	-73.941514
145 st	655186765	1444726794	40.824783	-73.944216
135 st	117440777	117440781	40.817894	-73.947649
125 st	1691473488	789364955	40.811109	-73.952343
116 st	1159719885	235403267	40.805085	-73.954882
cathedral pkwy	67447073	134425045	40.803967	-73.966847
103 st	2096605665	1710821631	40.796092	-73.961454
96 st	644618307	19150475	40.791642	-73.964696
72 st	1513845591	1922399080	40.775594	-73.97641
59 st columbus	1397271469	1222599054	40.76266	-73.967258
42 st	2033384332	1830112593	40.757308	-73.989735
w 4 st	117243279	24322381	40.732338	-74.000495
spring st	341246204	85122883	40.726227	-74.003739
high st	1914750476	1905496774	40.699337	-73.990531
lafayette av	8534292	1849163	40.686113	-73.973946
franklin av	305395572	2062444404	40.680596	-73.955827
nostrand av	12386553	24023617	40.680438	-73.950426
utica av	102072172	16777216	40.679364	-73.930729
ralph av	4122533	4359278	40.678822	-73.920786
rockaway av	10426457	6273052	40.67834	-73.911946
broadway jct	17035881	20303193	40.679498	-73.904512
liberty av	5427619	2064624	40.674542	-73.896548
shepherd av	7490181	9056911	40.67413	-73.88075
euclid av	8915851	5369913	40.675377	-73.872106
grant av	1207063095	1761242457	40.677044	-73.86505
80 st	117178618	117440744	40.679371	-73.858992
88 st	5486701	7914414	40.679843	-73.85147
rockaway blvd	135487399	8525360	40.680429	-73.843853
111 st	50331793	50331438	40.697418	-73.836345
broad channel	977067	85290	40.608382	-73.815925
beach 90 st	3175818	3701258	40.588034	-73.813641
beach 98 st	1846214	2067721	40.585307	-73.820558
beach 105 st	117438847	1038984	40.583209	-73.827559
beach 67 st	5251844	4230140	40.590927	-73.796924
beach 60 st	117440800	5372033	40.592374	-73.788522
beach 44 st	1214244	1368434	40.592943	-73.776013
beach 36 st	2190818	1845021	40.595398	-73.768175
beach 25 st	644500018	968192765	40.600066	-73.761353
167 st	1779836129	856354721	40.833771	-73.91844
170 st	934214602	1150156898	40.839306	-73.9134
174	4341139	2102182	40.8459	-73.910136
tremont av	218656537	167844250	40.85041	-73.905227
182	1475035269	1845236856	40.856093	-73.900741
fordham rd	1108189445	167933273	40.861296	-73.897749
kingsbridge rd	704879349	704887477	40.866978	-73.893509
5 av/53 st	13817495	30069338	40.760167	-73.975224
lexington av/53	1476666671	1595652396	40.757552	-73.969055
court sq	2067075928	681606375	40.747846	-73.946
queens plaza	51224343	17159863	40.748973	-73.937243
steinway st	15095631	13279521	40.756879	-73.92074
46 st	5962392	7003339	40.756312	-73.913333
northern blvd	6823567	7326706	40.752885	-73.906006
65 st	3172737	9040293	40.749669	-73.898453
elmhurst av	1625448220	1973025483	40.742454	-73.882017
67 av	10888856	10832904	40.726523	-73.852719
75 av	297378819	942427689	40.718331	-73.837324
sutphin blvd	84200578	3797168	40.70546	-73.810708
parsons blvd	9805161	12185032	40.707564	-73.803326
169 st	7172081	5287337	40.71047	-73.793604
21 st	14881370	10108103	40.744065	-73.949724
greenpoint av	5593930	6207148	40.731352	-73.954449
nassau av	8243613	6036546	40.724635	-73.951277
broadway	37457144	11526865	40.76182	-73.925508
classon av	9895819	8766735	40.688873	-73.96007
47	1924434991	2037696750	40.758663	-73.981329
2 av	67104272	25660934	40.723402	-73.989938
east broadway	101162072	17386841	40.713715	-73.990173
york st	3751075	23781011	40.701397	-73.986751
bergen st	11081140	7334809	40.686145	-73.990862
carroll st	16656903	19524492	40.680303	-73.995048
4 av	11328723	14544149	40.670272	-73.989779
ditmas av	67434404	4847044	40.636119	-73.978172
avenue i	3341806	995576628	40.625322	-73.976127
