location	entries	exits	latitude	longitude
beach 44 st	1222709	1374422	40.592943	-73.776013
beach 36 st	2200072	1845021	40.595398	-73.768175
beach 25 st	644512010	968205640	40.600066	-73.761353
167 st	1779857542	856357679	40.833771	-73.91844
170 st	934214599	1150156899	40.839306	-73.9134
174	4347758	2113106	40.8459	-73.910136
tremont av	218806981	167958511	40.85041	-73.905227
182	1474938542	1845233180	40.856093	-73.900741
fordham rd	1108258602	167944748	40.861296	-73.897749
kingsbridge rd	704906190	704911138	40.866978	-73.893509
5 av/53 st	13847008	30182888	40.760167	-73.975224
lexington av/53	1476682724	1595679871	40.757552	-73.969055
court sq	2067031485	681584487	40.747846	-73.946
queens plaza	51253537	17171211	40.748973	-73.937243
steinway st	15117319	13310656	40.756879	-73.92074
46 st	5961421	7037682	40.756312	-73.913333
northern blvd	6856556	7374542	40.752885	-73.906006
65 st	3177098	9048071	40.749669	-73.898453
elmhurst av	1625376795	1973020676	40.742454	-73.882017
67 av	10931441	10888926	40.726523	-73.852719
75 av	297385885	942410921	40.718331	-73.837324
sutphin blvd	84214778	3811235	40.70546	-73.810708
parsons blvd	9840304	12262961	40.707564	-73.803326
169 st	7181801	5322601	40.71047	-73.793604
21 st	15333974	10654450	40.744065	-73.949724
greenpoint av	5618313	6266303	40.731352	-73.954449
nassau av	8256007	6046891	40.724635	-73.951277
broadway	37377963	11577496	40.76182	-73.925508
classon av	9934059	8793995	40.688873	-73.96007
47	1924505659	2037752780	40.758663	-73.981329
2 av	67108650	25747108	40.723402	-73.989938
east broadway	101168730	17394806	40.713715	-73.990173
york st	3763085	23873933	40.701397	-73.986751
bergen st	11117686	7374022	40.686145	-73.990862
carroll st	150978228	19586930	40.680303	-73.995048
4 av	11336251	14563508	40.670272	-73.989779
ditmas av	67445864	4871051	40.636119	-73.978172
avenue i	3353547	995569845	40.625322	-73.976127
avenue n	134217920	134217918	40.61514	-73.974197
avenue p	8015126	8184783	40.608944	-73.973022
avenue x	2581299	6503740	40.58962	-73.97425
neptune av	4011244	787552	40.581011	-73.974574
lexington av/63	1758609713	44990941	40.764629	-73.966113
thirty third st	3138721	2156067	40.746081	-73.982076
south ferry	117482019	8237956	40.702068	-74.013664
wall st	168579609	235410525	40.706821	-74.0091
franklin st	10552456	9891475	40.719318	-74.006886
houston st	68456566	17061272	40.728251	-74.005367
18 st	15030298	4421274	40.74104	-73.997871
157 st	21415730	8758174	40.834041	-73.94489
191 st	9141989	11578611	40.855225	-73.929412
207 st	135041878	9661036	40.864621	-73.918822
215 st	4010868	169502849	40.869444	-73.915279
231 st	15486979	7947512	40.878856	-73.904834
238 st	8348137	6206834	40.884667	-73.90087
bowling green	1289817024	1343050632	40.704817	-74.014065
brooklyn bridge	388621477	564091503	40.713065	-74.004131
bleecker st	12329235	7066343	40.725915	-73.994659
astor pl	17012436	10799043	40.730054	-73.99107
grd cntrl	1255090419	1510932083	40.751776	-73.976848
51 st	13140009	24395951	40.757107	-73.97192
110 st	10443618	11122772	40.79502	-73.94425
mt eden av	4471873	4286013	40.844434	-73.914685
176 st	6272819	4452556	40.84848	-73.911794
burnside av	1908904	1850049	40.853453	-73.907684
183 st	1777549627	1863194734	40.858407	-73.903879
mosholu pkwy	5823244	5412284	40.87975	-73.884655
woodlawn	8008718	8086001	40.886037	-73.878751
jackson av	117749086	575034	40.81649	-73.907807
intervale av	8096530	6943458	40.822181	-73.896736
simpson st	670940911	503375211	40.824073	-73.893064
freeman st	169233250	16815574	40.829993	-73.891865
