location	entries	exits	latitude	longitude
57 st	18903617	7956820	40.763972	-73.97745
49 st	14896869	37530045	40.759901	-73.984139
times sq	1891697011	1428340687	40.754672	-73.986754
34 st	1569513693	2048550878	40.749567	-73.98795
28 st	1174472032	1392613621	40.745494	-73.988691
23 st	1999595164	1931680810	40.741303	-73.989344
14 st	2129224376	1510826855	40.740893	-74.00169
prince st	13876989	11952560	40.724329	-73.997702
canal st	1723802398	2031100031	40.719527	-74.001775
city hall	184956723	17167995	40.713282	-74.006978
cortlandt st	1058666180	871611615	40.710668	-74.011029
rector st	117720211	16840067	40.70722	-74.013342
bowery	2154035	2837969	40.72028	-73.993915
chambers st	2115889825	1799678855	40.713243	-74.003401
fulton st	1662337133	1762910767	40.710374	-74.007582
broad st	6401265	5624520	40.706476	-74.011056
7 av	12615945	14196847	40.67705	-73.972367
botanic garden	5273888	1829532	40.670343	-73.959245
prospect park	1568820366	1568779198	40.661614	-73.962246
parkside av	5087603	8003067	40.655292	-73.961495
church av	856127756	1577657625	40.650527	-73.962982
cortelyou rd	5645439	2500735	40.640927	-73.963891
newkirk plaza	17113522	16981515	40.635082	-73.962793
avenue h	117440645	724096	40.62927	-73.961639
avenue j	9337292	9326070	40.625039	-73.960803
avenue m	100662785	1548752	40.617618	-73.959399
kings hwy	755797771	763625283	40.60867	-73.957734
avenue u	1325342719	687875448	40.5993	-73.955929
neck rd	100662774	16903452	40.595246	-73.955161
sheepshead bay	13138205	18488037	40.586896	-73.954155
brighton beach	15468807	13398387	40.577621	-73.961376
ocean pkwy	5898556	5897472	40.576312	-73.968501
borough hall	101130939	14718634	40.693219	-73.989998
dekalb av	2000093066	1850344989	40.690635	-73.981824
atl av	654312867	134263112	40.683666	-73.97881
union st	10794774	12620385	40.677316	-73.98311
prospect av	12872667	12908751	40.665414	-73.992872
25 st	10528155	7629345	40.660397	-73.998091
36 st	100757085	7290177	40.655144	-74.003549
45 st	3666865	7235166	40.648939	-74.010006
53 st	100807224	134008107	40.645069	-74.014034
bay ridge av	8006248	4794107	40.634967	-74.023377
77 st	140535090	24701694	40.629742	-74.02551
86 st	972501886	1876052240	40.622687	-74.028398
8 av	54392219	12863602	40.635064	-74.011719
new utrecht av	5508856	10704450	40.624842	-73.996353
18 av	1946574699	1358534005	40.607954	-74.001736
20 av	7733728	6662033	40.604556	-73.998168
bay pkwy	775271712	1698397485	40.601875	-73.993728
9 av	11188207	11032381	40.646292	-73.994324
50 st	335254341	335203305	40.63626	-73.994791
55 st	4759335	5083974	40.631435	-73.995476
71 st	8410128	8060946	40.619589	-73.998864
79 st	66880855	117175584	40.613501	-74.00061
25 av	3002571	3151898	40.597704	-73.986829
bay 50 st	6713295	7504344	40.588841	-73.983765
