location	entries	exits	latitude	longitude
57 st	1562673500	1293645576	40.763972	-73.97745
49 st	14961210	37723671	40.759901	-73.984139
times sq	1891635388	1428381349	40.754672	-73.986754
34 st	1569553529	2048654992	40.749567	-73.98795
28 st	1174473045	1392622803	40.745494	-73.988691
23 st	1999667471	1931711969	40.741303	-73.989344
14 st	2129176980	1510792046	40.740893	-74.00169
prince st	13923360	11951212	40.724329	-73.997702
canal st	1723706199	2031133339	40.719527	-74.001775
city hall	184955565	17149278	40.713282	-74.006978
cortlandt st	1058666140	871618623	40.710668	-74.011029
rector st	117727400	16845604	40.70722	-74.013342
bowery	2182680	2864345	40.72028	-73.993915
chambers st	2115914770	1799567940	40.713243	-74.003401
fulton st	1662364597	1762910765	40.710374	-74.007582
broad st	6443565	5656735	40.706476	-74.011056
7 av	12630249	14230954	40.67705	-73.972367
botanic garden	5280629	1802292	40.670343	-73.959245
prospect park	1568871390	1568820551	40.661614	-73.962246
parkside av	5125204	8052746	40.655292	-73.961495
church av	856148462	1577681753	40.650527	-73.962982
cortelyou rd	5648891	2493988	40.640927	-73.963891
newkirk plaza	17154839	16997209	40.635082	-73.962793
avenue h	117440646	738554	40.62927	-73.961639
avenue j	9353020	9337342	40.625039	-73.960803
avenue m	100662781	1567614	40.617618	-73.959399
kings hwy	755842688	763625280	40.60867	-73.957734
avenue u	1325342663	687882427	40.5993	-73.955929
neck rd	100662774	16906904	40.595246	-73.955161
sheepshead bay	13162431	18546795	40.586896	-73.954155
brighton beach	15538278	13434454	40.577621	-73.961376
ocean pkwy	5898556	5897472	40.576312	-73.968501
borough hall	101140497	14767276	40.693219	-73.989998
dekalb av	2000091719	2000091722	40.690635	-73.981824
atl av	654312885	134263112	40.683666	-73.97881
union st	10842485	12667435	40.677316	-73.98311
prospect av	12885029	12928297	40.665414	-73.992872
25 st	10578346	7654608	40.660397	-73.998091
36 st	100772849	7387755	40.655144	-74.003549
45 st	3724760	7277482	40.648939	-74.010006
53 st	100839308	134012934	40.645069	-74.014034
bay ridge av	8026644	4800148	40.634967	-74.023377
77 st	140603001	24748279	40.629742	-74.02551
86 st	908704932	1876031180	40.622687	-74.028398
8 av	54479072	12926186	40.635064	-74.011719
new utrecht av	5525661	10714327	40.624842	-73.996353
18 av	1946596315	1358515830	40.607954	-74.001736
20 av	7751901	6674418	40.604556	-73.998168
bay pkwy	775248408	1698408170	40.601875	-73.993728
9 av	11230590	11039496	40.646292	-73.994324
50 st	335325569	335250106	40.63626	-73.994791
55 st	4771011	5096497	40.631435	-73.995476
71 st	8418499	8089549	40.619589	-73.998864
