location	entries	exits	latitude	longitude
57 st	1562721481	1293718038	40.763972	-73.97745
49 st	15057317	38001992	40.759901	-73.984139
times sq	1891490536	1428453578	40.754672	-73.986754
34 st	1569625634	2048803301	40.749567	-73.98795
28 st	1174474528	1392638810	40.745494	-73.988691
23 st	1999824417	1931764634	40.741303	-73.989344
14 st	2129064671	1510716020	40.740893	-74.00169
prince st	13986404	11962017	40.724329	-73.997702
canal st	1723478308	2031191719	40.719527	-74.001775
city hall	184943856	17104647	40.713282	-74.006978
cortlandt st	1058666026	871629306	40.710668	-74.011029
rector st	117736205	16839693	40.70722	-74.013342
bowery	2213720	2898166	40.72028	-73.993915
chambers st	2115968911	1712893347	40.713243	-74.003401
fulton st	1662412102	1762910755	40.710374	-74.007582
broad st	6511121	5728456	40.706476	-74.011056
7 av	12634881	14292082	40.67705	-73.972367
botanic garden	5390836	2014196	40.670343	-73.959245
prospect park	1568953178	1568912192	40.661614	-73.962246
parkside av	5162205	8121154	40.655292	-73.961495
church av	856184122	1577719443	40.650527	-73.962982
cortelyou rd	5621618	2464289	40.640927	-73.963891
newkirk plaza	17207310	17024850	40.635082	-73.962793
avenue h	117440649	778016	40.62927	-73.961639
avenue j	9380964	9367239	40.625039	-73.960803
avenue m	100662770	1600324	40.617618	-73.959399
kings hwy	755926353	763625271	40.60867	-73.957734
avenue u	1325341011	687894676	40.5993	-73.955929
neck rd	100662774	793475	40.595246	-73.955161
sheepshead bay	13291054	18673566	40.586896	-73.954155
brighton beach	15679916	13523082	40.577621	-73.961376
ocean pkwy	5898556	5897471	40.576312	-73.968501
borough hall	101157224	6616544	40.693219	-73.989998
dekalb av	2000005244	2000005247	40.690635	-73.981824
atl av	654312979	134263112	40.683666	-73.97881
union st	10907107	12743784	40.677316	-73.98311
prospect av	12936601	12980113	40.665414	-73.992872
25 st	10657361	7693752	40.660397	-73.998091
36 st	100796903	7548497	40.655144	-74.003549
45 st	3807471	7344965	40.648939	-74.010006
53 st	100894863	134017014	40.645069	-74.014034
bay ridge av	8088719	4975116	40.634967	-74.023377
77 st	140722080	24808935	40.629742	-74.02551
86 st	908764038	1875981575	40.622687	-74.028398
8 av	54579799	13030083	40.635064	-74.011719
new utrecht av	5543802	10728369	40.624842	-73.996353
18 av	1946636608	1358466245	40.607954	-74.001736
20 av	7766103	6689657	40.604556	-73.998168
bay pkwy	875473469	1556066894	40.601875	-73.993728
9 av	11302912	11052197	40.646292	-73.994324
50 st	335438726	335333734	40.63626	-73.994791
55 st	4781511	5127014	40.631435	-73.995476
71 st	8408238	8157273	40.619589	-73.998864
79 st	66851459	117192233	40.613501	-74.00061
25 av	3055930	3254275	40.597704	-73.986829
bay 50 st	6756226	7592078	40.588841	-73.983765
6 av	1209366968	1200549970	40.737335	-73.996786
3 av	881891558	1057167691	40.732849	-73.986122
1 av	955410942	998862200	40.730953	-73.981628
bedford av	24997315	30010279	40.717304	-73.956872
lorimer st	9086127	2025966	40.703869	-73.947408
graham av	14422565	11344722	40.714565	-73.944053
grand st	239056697	1406666044	40.711926	-73.94067
montrose av	134815114	7390450	40.707739	-73.93985
morgan av	2634714	1129519	40.706152	-73.933147
jefferson st	7369364	7606942	40.706607	-73.922913
halsey st	73427865	34543885	40.68637	-73.916559
wilson av	7934123	6311699	40.688764	-73.904046
sutter av	8619456	8591910	40.669367	-73.901975
livonia av	6572930	2034043	40.664038	-73.900571
marcy av	117440994	8352093	40.708359	-73.957757
hewes st	8143408	8110810	40.70687	-73.953431
flushing av	16815049	16752814	40.70026	-73.941126
myrtle av	13333036	22249971	40.697207	-73.935657
kosciuszko st	7225761	3830110	40.693342	-73.928814
gates av	3386912	4340713	40.68963	-73.92227
chauncey st	6026325	2269384	40.682893	-73.910456
alabama av	5124393	6230910	40.676992	-73.898654
van siclen av	6625175	8543176	40.678024	-73.891688
cleveland st	565363	490636	40.679947	-73.884639
norwood av	4537345	7043552	40.68141	-73.880039
crescent st	11048104	7155257	40.683194	-73.873785
cypress hills	4239534	2259475	40.689941	-73.87255
75 st	5712178	4215030	40.691324	-73.867139
woodhaven blvd	33554703	11731146	40.693879	-73.851576
104 st	2025849343	1907468409	40.695178	-73.84433
111 st	50331849	16776861	40.697418	-73.836345
121 st	1945699377	520182175	40.700492	-73.828294
central av	1919230	3217554	40.697857	-73.927397
fresh pond rd	14255132	5828845	40.706186	-73.895877
metropolitan av	150995027	16092785	40.712792	-73.951418
dyckman st	13140703	11460083	40.865491	-73.927271
