Zip Code,Location,City,Avg. Income/H/hold,,,
11213,"40.671034, -73.936357","Brooklyn, New York",26366,,,
11216,"40.680854, -73.949144","Brooklyn, New York",25135,,,
11207,"40.670361, -73.893848","Brooklyn, New York",24163,,,
11211,"40.713507, -73.952578","Brooklyn, New York",23567,,,
11237,"40.704160, -73.921139","Brooklyn, New York",23104,,,
11233,"40.678089, -73.919867","Brooklyn, New York",22754,,,
11221,"40.691310, -73.927772","Brooklyn, New York",22305,,,
11224,"40.577257, -73.989762","Brooklyn, New York",21281,,,
11212,"40.662907, -73.912969","Brooklyn, New York",20839,,,
11206,"40.702037, -73.942444","Brooklyn, New York",18661,,,
11239,"40.644728, -73.879186","Brooklyn, New York",16919,,,
10312,"40.547291, -74.179264","Staten Island, New York",67728,,,
10309,"40.530847, -74.221178","Staten Island, New York",65397,,,
10307,"40.506815, -74.241709","Staten Island, New York",64159,,,
10308,"40.551236, -74.150961","Staten Island, New York",61868,,,
10314,"40.598825, -74.163336","Staten Island, New York",59560,,,
10306,"40.569755, -74.122141","Staten Island, New York",55413,,,
10305,"40.596691, -74.074866","Staten Island, New York",48944,,,
10310,"40.632516, -74.116461","Staten Island, New York",46198,,,
10301,"40.627456, -74.094407","Staten Island, New York",45620,,,
10303,"40.629885, -74.174130","Staten Island, New York",42463,,,
10302,"40.630820, -74.137841","Staten Island, New York",42452,,,
10304,"40.603589, -74.102477","Staten Island, New York",41041,,,
11004,"40.743796, -73.91949","Queens, New York",93315,,,
11005,"40.774686, -73.90816","Queens, New York",51801,,,
11101,"40.745341, -73.93907","Queens, New York",57866,,,
11102,"40.771286, -73.92462","Queens, New York",60436,,,
11103,"40.762968, -73.91091","Queens, New York",65229,,,
11104,"40.743796, -73.91949","Queens, New York",63122,,,
11105,"40.774686, -73.90816","Queens, New York",68050,,,
11106,"40.762012, -73.93147","Queens, New York",60725,,,
11109,"40.651378, -73.870779","Queens, New York",137452,,,
11120,"40.651378, -73.870779","Queens, New York",66382,,,
11351,"40.781703, -73.831698","Queens, New York",83951,,,
11352,"40.651378, -73.870779","Queens, New York",85293,,,
11354,"40.767969, -73.82496","Queens, New York",44512,,,
11355,"40.749463, -73.81941","Queens, New York",38370,,,
11356,"40.785462, -73.84366","Queens, New York",59712,,,
11357,"40.784453, -73.80922","Queens, New York",81053,,,
11358,"40.760522, -73.79612","Queens, New York",65932,,,
11359,"40.79278, -73.776701","Queens, New York",78919,,,
11360,"40.780386, -73.78005","Queens, New York",84476,,,
11361,"40.763177, -73.77392","Queens, New York",82020,,,
11362,"40.759686, -73.73322","Queens, New York",80828,,,
11363,"40.772636, -73.74644","Queens, New York",97784,,,
11364,"40.746718, -73.75994","Queens, New York",71030,,,
11365,"40.738983, -73.79209","Queens, New York",63455,,,
11366,"40.726137, -73.79502","Queens, New York",67115,,,
11367,"40.728614, -73.82145","Queens, New York",58924,,,
11368,"40.747106, -73.85838","Queens, New York",47862,,,
11369,"40.762854, -73.87051","Queens, New York",53426,,,
11370,"40.763015, -73.89052","Queens, New York",59901,,,
11371,"40.772072, -73.87509","Queens, New York",38364,,,
11372,"40.750146, -73.88433","Queens, New York",53963,,,
11373,"40.736076, -73.87804","Queens, New York",49098,,,
11374,"40.724945, -73.8609","Queens, New York",56863,,,
11375,"40.720535, -73.84582","Queens, New York",76467,,,
11377,"40.742869, -73.90377","Queens, New York",54989,,,
