Rank,Zip Code,Population
290,13850,"22,186"
291,14228,"22,103"
292,12110,"22,041"
293,13820,"21,997"
294,13088,"21,986"
295,11563,"21,965"
296,10708,"21,935"
297,14211,"21,900"
298,10471,"21,896"
298,12208,"21,896"
299,10703,"21,854"
300,14227,"21,846"
301,10075,"21,556"
302,11694,"21,354"
303,13212,"21,349"
304,11581,"21,275"
305,11783,"21,265"
306,11768,"21,158"
307,10037,"21,139"
308,11692,"20,991"
309,12047,"20,935"
310,14420,"20,925"
311,14072,"20,897"
312,11426,"20,801"
313,11411,"20,759"
314,10543,"20,715"
315,10567,"20,563"
316,11726,"20,558"
317,14845,"20,451"
318,14526,"20,340"
319,12144,"20,272"
320,14051,"20,198"
321,11436,"20,077"
322,14206,"19,869"
323,14214,"19,775"
324,14830,"19,772"
325,12508,"19,747"
326,11360,"19,621"
327,10552,"19,569"
328,10509,"19,461"
329,11501,"19,393"
330,11415,"19,372"
331,10805,"19,215"
332,14456,"19,201"
333,13901,"19,195"
334,14218,"18,951"
335,14559,"18,937"
336,11428,"18,929"
337,11747,"18,922"
338,12561,"18,731"
339,13204,"18,728"
340,11362,"18,721"
341,10605,"18,643"
342,11030,"18,578"
343,13903,"18,496"
344,10302,"18,204"
345,11021,"18,185"
346,14760,"18,163"
347,12477,"18,162"
348,11754,"18,086"
349,12534,"17,967"
350,13790,"17,875"
351,10603,"17,843"
352,14468,"17,789"
353,11790,"17,694"
354,12189,"17,563"
355,13205,"17,479"
356,10580,"17,391"
357,11738,"17,352"
358,12831,"17,228"
359,12589,"17,017"
360,13676,"17,016"
361,13039,"16,837"
362,14607,"16,750"
363,14305,"16,683"
364,12054,"16,649"
365,14611,"16,630"
366,14052,"16,614"
367,14615,"16,613"
368,10606,"16,600"
369,11575,"16,546"
370,11733,"16,545"
370,10538,"16,545"
371,13203,"16,528"
372,10549,"16,465"
373,13413,"16,382"
374,13206,"16,360"
375,11788,"16,228"
376,13662,"16,069"
377,11937,"15,984"
378,14901,"15,965"
379,12524,"15,964"
380,11703,"15,952"
381,12206,"15,944"
382,11950,"15,884"
383,10017,"15,801"
384,11767,"15,783"
385,13669,"15,782"
386,11780,"15,753"
387,10960,"15,684"
388,12953,"15,569"
389,10965,"15,517"
390,13104,"15,515"
391,14904,"15,480"
392,13031,"15,451"
393,10470,"15,432"
394,12308,"15,422"
395,11004,"15,234"
396,10307,"15,232"
397,12118,"15,218"
398,11946,"15,145"
399,14564,"15,127"
400,11798,"15,033"
401,12182,"14,928"
402,11782,"14,915"
403,13215,"14,892"
404,11949,"14,863"
405,13219,"14,781"
406,12771,"14,757"
407,10804,"14,753"
408,14210,"14,723"
409,14063,"14,676"
410,11366,"14,650"
411,14619,"14,602"
412,11751,"14,559"
413,12019,"14,429"
414,12801,"14,381"
415,14048,"14,177"
416,14411,"14,176"
417,14610,"14,050"
418,14222,"14,037"
419,12538,"13,996"
420,14513,"13,970"
421,10980,"13,943"
422,11730,"13,860"
423,11702,"13,788"
424,13057,"13,772"
425,11598,"13,715"
426,14613,"13,578"
427,11953,"13,401"
428,10924,"13,389"
429,11961,"13,330"
430,13421,"13,291"
431,12839,"13,265"
432,11239,"13,244"
433,10941,"13,176"
434,10520,"13,152"
435,13207,"13,135"
436,10528,"13,128"
437,13815,"12,985"
438,14527,"12,951"
439,13209,"12,940"
440,11693,"12,919"
441,14843,"12,911"
442,10570,"12,893"
443,12528,"12,871"
444,11577,"12,808"
445,10530,"12,791"
446,11764,"12,723"
447,11753,"12,596"
448,14301,"12,594"
449,11742,"12,566"
450,13066,"12,550"
451,10803,"12,544"
452,11755,"12,510"
453,14004,"12,496"
454,14605,"12,470"
455,11766,"12,414"
456,11951,"12,391"
457,11545,"12,390"
458,10514,"12,389"
459,10918,"12,287"
460,12095,"12,228"
461,14810,"12,135"
462,12586,"12,129"
463,10474,"12,127"
464,11576,"12,099"
465,14219,"12,092"
466,10927,"12,081"
467,13032,"12,057"
468,14608,"12,019"
469,14622,"11,976"
470,14586,"11,897"
471,14425,"11,848"
472,14519,"11,771"
473,10044,"11,682"
474,14201,"11,680"
475,11778,"11,641"
476,12701,"11,626"
477,10601,"11,612"
478,13041,"11,453"
479,14437,"11,439"
480,13827,"11,315"
481,13492,"11,268"
482,12549,"11,235"
483,14454,"11,188"
484,13323,"11,097"
485,14092,"11,083"
486,10604,"11,045"
487,13617,"11,034"
488,10522,"11,027"
489,12566,"11,003"
490,12188,"10,952"
491,13357,"10,855"
492,10536,"10,853"
493,14208,"10,805"
494,12211,"10,752"
495,14212,"10,695"
496,11968,"10,667"
497,13619,"10,640"
498,13078,"10,607"
499,13148,"10,605"
500,11596,"10,561"
501,13165,"10,559"
502,14502,"10,545"
503,14103,"10,541"
504,10553,"10,429"
505,10510,"10,381"
506,10707,"10,316"
507,14031,"10,301"
508,12569,"10,268"
509,12414,"10,203"
510,14059,"10,144"
511,14625,"10,122"
512,11518,"10,101"
513,14467,"10,056"
514,10970,"10,055"
515,12571,"9,999"
516,11716,"9,957"
517,14006,"9,949"
518,13904,"9,948"
519,13642,"9,871"
520,13350,"9,827"
521,11713,"9,710"
522,12210,"9,706"
523,10018,"9,687"
524,10709,"9,663"
525,12202,"9,624"
526,13603,"9,589"
527,14870,"9,565"
528,11752,"9,564"
529,14001,"9,549"
530,11771,"9,500"
531,14011,"9,470"
532,13037,"9,442"
533,10280,"9,384"
534,12209,"9,383"
535,14895,"9,354"
536,12061,"9,325"
537,10989,"9,300"
538,14522,"9,231"
539,11023,"9,215"
540,10523,"9,077"
541,11740,"9,070"
542,10920,"9,008"
543,10930,"8,990"
544,14032,"8,955"
545,11777,"8,951"
545,10992,"8,951"
546,13035,"8,851"
547,10005,"8,831"
548,13036,"8,798"
549,10589,"8,751"
550,11797,"8,737"
551,10706,"8,734"
552,11769,"8,706"
553,11565,"8,696"
554,11792,"8,688"
555,13214,"8,685"
556,14204,"8,649"
557,13367,"8,617"
558,12572,"8,596"
559,14905,"8,593"
560,12563,"8,555"
561,12828,"8,546"
562,12803,"8,525"
563,10579,"8,483"
564,13365,"8,469"
565,14472,"8,421"
566,11789,"8,380"
567,10595,"8,341"
568,11096,"8,311"
569,13224,"8,296"
570,14057,"8,284"
571,10504,"8,254"
572,10923,"8,244"
573,11558,"8,217"
574,13152,"8,208"
575,14482,"8,189"
576,11559,"8,181"
577,12043,"8,171"
578,11024,"8,101"
579,14892,"8,084"
580,13340,"8,075"
581,12540,"8,071"
582,12009,"8,036"
583,11934,"8,006"
584,12033,"7,924"
585,14445,"7,875"
586,12159,"7,845"
587,13732,"7,796"
588,12198,"7,772"
589,10547,"7,737"
590,11516,"7,670"
591,12204,"7,628"
592,14903,"7,584"
593,11705,"7,565"
594,14464,"7,555"
595,10533,"7,551"
596,14470,"7,548"
597,14141,"7,497"
598,11557,"7,480"
599,14428,"7,439"
600,11963,"7,430"
601,14589,"7,426"
602,14209,"7,410"
603,12983,"7,371"
604,10994,"7,326"
605,12018,"7,324"
606,12570,"7,322"
607,14085,"7,306"
608,11933,"7,302"
