Rank,Zip Code,Population
"1,173",14008,"1,315"
"1,174",14571,"1,313"
"1,175",10596,"1,310"
"1,175",14861,"1,310"
"1,176",13318,"1,305"
"1,177",14869,"1,302"
"1,178",13122,"1,289"
"1,179",14066,"1,286"
"1,180",12719,"1,284"
"1,181",10964,"1,283"
"1,182",13807,"1,278"
"1,183",12985,"1,277"
"1,184",13835,"1,276"
"1,184",12980,"1,276"
"1,185",12726,"1,266"
"1,186",14864,"1,253"
"1,186",14894,"1,253"
"1,187",13607,"1,247"
"1,188",12592,"1,243"
"1,189",14507,"1,236"
"1,190",14614,"1,232"
"1,191",10518,"1,231"
"1,192",12502,"1,223"
"1,193",12903,"1,215"
"1,194",12548,"1,213"
"1,195",12997,"1,199"
"1,196",12932,"1,194"
"1,197",12166,"1,193"
"1,198",12967,"1,186"
"1,199",14860,"1,182"
"1,200",13635,"1,177"
"1,201",11972,"1,171"
"1,202",12565,"1,165"
"1,203",14102,"1,163"
"1,204",12913,"1,162"
"1,204",13615,"1,162"
"1,205",12156,"1,151"
"1,206",13755,"1,148"
"1,206",14753,"1,148"
"1,207",13147,"1,147"
"1,207",12430,"1,147"
"1,208",13744,"1,143"
"1,209",11932,"1,138"
"1,210",14109,"1,131"
"1,211",12431,"1,129"
"1,212",13338,"1,121"
"1,212",13334,"1,121"
"1,213",12785,"1,119"
"1,214",14731,"1,115"
"1,215",13810,"1,114"
"1,216",13303,"1,113"
"1,217",14091,"1,111"
"1,218",13028,"1,109"
"1,219",12959,"1,108"
"1,220",13684,"1,107"
"1,221",13081,"1,105"
"1,222",12029,"1,104"
"1,222",14723,"1,104"
"1,223",12960,"1,099"
"1,224",12765,"1,095"
"1,225",12423,"1,089"
"1,226",12474,"1,082"
"1,227",11569,"1,080"
"1,227",14805,"1,080"
"1,228",14740,"1,079"
"1,229",12489,"1,078"
"1,230",14855,"1,074"
"1,231",13061,"1,073"
"1,232",12815,"1,072"
"1,232",13839,"1,072"
"1,233",12468,"1,069"
"1,234",13325,"1,067"
"1,235",14555,"1,064"
"1,236",14480,"1,063"
"1,236",13368,"1,063"
"1,237",12837,"1,059"
"1,238",12087,"1,053"
"1,239",14784,"1,040"
"1,240",13780,"1,036"
"1,241",14728,"1,033"
"1,242",12153,"1,027"
"1,242",11739,"1,027"
"1,243",12046,"1,025"
"1,244",12989,"1,024"
"1,245",10931,"1,017"
"1,246",14769,"1,013"
"1,247",14822,"1,012"
"1,247",14037,"1,012"
"1,248",13864,"1,011"
"1,249",13485,"1,009"
"1,250",12746,"1,004"
"1,251",13788,990
"1,252",12970,984
"1,253",12824,970
"1,254",12934,967
"1,255",11939,954
"1,256",14143,940
"1,257",13420,933
"1,258",12028,929
"1,259",12751,926
"1,259",13469,926
"1,260",10505,925
"1,261",12406,922
"1,261",11948,922
"1,262",13750,919
"1,263",13321,917
"1,264",12734,903
"1,265",12914,902
"1,265",13322,902
"1,266",14729,897
"1,266",13355,897
"1,267",12150,895
"1,267",13071,895
"1,268",12457,893
"1,268",11930,893
"1,269",10988,889
"1,270",13682,885
"1,270",13681,885
"1,271",13731,880
"1,272",12160,872
"1,273",12585,870
"1,274",10578,868
"1,275",13486,864
"1,276",12873,856
"1,276",12035,856
"1,277",12032,853
"1,278",10597,851
"1,278",12190,851
"1,278",12456,851
"1,279",12777,850
"1,280",12942,846
"1,281",13690,835
"1,282",14836,834
"1,282",14820,834
"1,283",14842,832
"1,284",14803,831
"1,285",13361,813
"1,286",14897,811
"1,286",14815,811
"1,286",13319,811
"1,286",12842,811
"1,287",14859,804
"1,288",13739,796
"1,289",12768,794
"1,290",12151,792
"1,291",12442,785
"1,291",12473,785
"1,292",11959,784
"1,293",14839,782
"1,293",11957,782
"1,294",11547,776
"1,295",10527,774
"1,296",12409,771
"1,296",13752,771
"1,297",13863,766
"1,298",13672,763
"1,299",13844,758
"1,300",12930,756
"1,301",12434,754
"1,302",14825,749
"1,303",12810,747
"1,304",14819,745
"1,305",14846,743
"1,306",13072,738
"1,307",12950,735
"1,308",12480,733
"1,309",12130,729
"1,309",12863,729
"1,310",14885,726
"1,311",11765,723
"1,312",14069,721
"1,313",13406,710
"1,314",12762,709
"1,315",12092,706
"1,316",13665,703
"1,317",12136,699
"1,318",12836,698
"1,318",11958,698
"1,319",11960,696
"1,320",14777,695
"1,321",11965,690
"1,322",12732,689
"1,323",14588,679
"1,323",13489,679
"1,324",12124,675
"1,325",13782,665
"1,326",13832,663
"1,327",12464,653
"1,328",12405,652
"1,329",13470,649
"1,330",12763,648
"1,331",14872,645
"1,332",13473,642
"1,333",12041,638
"1,334",13841,634
"1,335",12857,629
"1,336",12494,628
"1,336",12778,628
"1,337",13310,624
"1,338",12120,623
"1,339",12878,621
"1,340",14748,619
"1,341",14808,612
"1,341",12861,612
"1,342",12008,609
"1,342",13813,609
"1,343",12469,605
"1,344",14816,604
"1,344",14082,604
"1,345",12604,603
"1,346",12187,598
"1,347",12860,597
"1,347",14720,597
"1,348",12965,596
"1,349",13337,595
"1,350",14754,594
"1,351",12022,591
"1,352",12923,589
"1,353",14026,588
"1,354",13155,586
"1,355",14714,582
"1,356",12945,581
"1,357",13141,577
"1,358",12418,573
"1,359",13454,571
"1,360",12175,570
"1,361",12412,562
"1,361",13802,562
"1,362",14536,561
"1,363",13162,560
"1,364",13157,552
"1,365",14511,551
"1,366",12433,549
"1,367",13740,547
"1,368",13842,543
"1,369",12419,540
"1,370",12884,539
"1,371",14126,531
"1,372",12838,530
"1,373",14841,529
"1,373",12147,529
"1,374",14113,523
"1,375",11042,522
"1,376",12503,520
"1,377",14462,519
"1,378",12176,517
"1,379",13776,514
"1,380",11947,511
"1,380",13123,511
"1,381",14717,505
"1,382",13687,503
"1,383",12952,493
"1,384",12444,486
"1,385",12791,485
"1,386",14878,484
"1,386",13313,484
"1,387",12470,480
"1,388",13659,479
"1,389",12045,475
"1,390",13163,473
"1,391",12823,472
"1,392",13468,471
"1,392",14824,471
"1,392",12410,471
"1,393",13621,469
"1,394",14877,465
"1,395",12448,464
"1,396",12517,455
"1,397",12766,452
"1,398",12085,434
"1,398",13670,434
"1,399",12432,431
"1,400",12417,429
"1,401",12852,428
"1,402",10535,427
"1,403",13437,423
"1,404",10933,422
"1,405",10517,420
"1,405",12843,420
"1,406",12750,417
"1,407",12760,416
"1,408",13756,414
"1,409",12743,413
"1,409",12847,413
"1,410",12969,410
"1,411",12936,409
"1,412",13136,407
"1,413",12574,405
"1,414",13693,402
"1,415",12063,400
"1,416",12071,398
"1,417",10914,395
"1,417",12108,395
"1,418",12427,392
"1,419",13312,391
"1,420",14061,389
"1,420",12411,389
"1,421",14173,387
"1,422",13786,384
"1,423",13153,382
"1,424",12955,381
"1,425",12064,380
"1,426",12787,377
"1,427",12017,376
"1,428",12460,373
"1,428",12943,373
"1,428",13314,373
"1,429",14486,370
"1,430",12482,369
"1,431",12851,368
"1,432",12454,363
"1,432",12998,363
"1,433",13640,362
"1,433",13638,362
"1,434",14783,361
"1,435",12513,354
"1,436",13804,353
"1,437",13777,352
"1,438",13846,351
"1,439",12164,347
"1,440",12849,346
"1,441",13861,343
"1,442",13614,333
"1,443",13494,332
"1,443",13633,332
"1,443",14441,332
"1,444",12749,331
"1,445",12738,328
"1,445",12808,328
"1,446",14881,324
"1,446",13418,324
"1,446",13483,324
"1,447",12819,323
"1,448",12420,318
"1,449",12174,316
"1,450",12475,315
"1,451",11962,309
"1,452",12435,308
"1,453",12422,307
"1,454",12177,305
"1,455",13113,304
"1,456",12978,303
"1,457",13051,299
"1,458",13484,297
"1,459",12429,294
"1,460",12770,293
"1,461",13664,292
"1,462",12453,291
"1,463",12439,290
"1,464",14060,289
"1,465",13806,288
"1,466",13103,287
"1,466",13435,287
"1,467",13639,286
"1,468",12483,285
"1,469",13410,281
"1,469",12416,281
"1,470",14475,280
"1,471",12424,276
"1,471",13678,276
"1,471",14742,276
"1,472",12421,274
"1,473",13636,271
"1,473",12786,271
"1,473",12172,271
"1,474",14736,270
"1,475",14722,269
"1,475",12844,269
"1,476",12132,267
"1,477",13117,264
"1,477",11970,264
"1,477",12975,264
"1,478",14752,263
"1,479",12927,262
"1,480",12886,258
"1,481",10975,257
"1,482",12724,256
"1,483",13834,253
"1,484",12471,252
"1,484",12452,252
"1,485",12752,251
"1,486",13305,249
"1,487",12855,242
"1,488",14856,241
"1,489",14884,240
"1,489",12781,240
"1,490",12507,236
"1,491",12493,233
"1,492",13666,228
"1,493",13675,227
"1,494",12036,224
"1,495",14708,223
"1,495",11975,223
"1,496",12169,222
"1,497",10519,220
"1,498",14874,216
"1,499",12976,213
"1,499",12069,213
"1,500",12961,212
"1,500",11956,212
"1,501",12939,211
"1,502",12492,210
"1,503",13628,209
"1,504",13134,208
"1,505",14415,205
"1,505",12792,205
"1,506",13342,202
"1,507",12161,199
"1,507",12465,199
"1,508",12987,198
"1,508",11430,198
"1,509",12459,196
"1,509",12042,196
"1,510",14592,192
"1,510",13774,192
"1,511",12165,191
"1,512",10985,189
"1,512",13859,189
"1,513",12964,186
"1,514",14827,185
"1,514",13115,185
"1,515",13695,184
"1,516",6390,183
"1,517",12495,182
"1,517",12031,182
"1,518",14545,180
"1,519",12741,175
"1,520",13345,174
"1,521",10503,173
"1,521",13362,173
"1,522",10979,171
"1,522",14539,171
"1,523",14041,166
"1,524",14130,165
"1,525",13360,163
"1,525",12040,163
"1,526",13064,161
"1,527",12769,160
"1,528",13404,158
"1,529",12139,156
"1,530",12512,155
"1,531",12450,154
"1,532",13651,153
"1,532",12874,153
"1,533",14707,152
"1,534",13488,151
"1,535",10199,148
"1,536",14479,146
"1,537",13674,145
"1,538",12745,143
"1,539",13845,138
"1,539",14529,138
"1,540",12856,137
"1,540",12407,137
"1,541",12767,136
"1,542",14732,133
"1,543",12725,130
"1,544",10545,129
"1,545",12115,127
"1,546",13441,124
"1,547",14135,123
"1,547",13436,123
"1,548",12195,121
"1,548",12194,121
"1,549",13331,120
"1,550",12530,117
"1,551",14134,115
"1,551",12089,115
"1,552",14537,114
"1,553",12720,113
"1,553",12858,113
"1,554",13677,112
"1,555",13020,110
"1,556",14302,109
"1,557",13301,108
"1,558",13341,107
"1,558",12841,107
"1,559",13364,106
"1,559",13784,106
"1,560",14721,105
"1,560",13751,105
"1,561",10932,104
"1,561",12812,104
"1,562",10915,98
"1,563",10953,96
"1,564",14585,95
"1,565",13124,94
"1,565",14169,94
"1,566",14039,92
"1,566",12722,92
"1,567",12742,90
"1,568",12924,88
"1,569",12973,86
"1,570",12131,85
"1,571",13847,84
"1,572",14035,77
"1,573",14774,74
"1,574",14788,73
"1,575",14549,71
"1,576",13794,70
"1,576",14756,70
"1,577",12441,68
"1,578",13087,66
"1,578",13415,66
"1,578",13472,66
"1,579",13641,65
"1,580",13692,64
"1,581",14542,60
"1,582",12736,58
"1,583",11770,57
"1,584",12933,52
"1,585",12872,47
"1,585",13696,47
"1,586",12784,46
"1,587",11931,44
"1,588",10279,43
"1,588",11973,43
"1,589",13450,42
"1,590",13062,40
"1,591",12436,39
"1,591",12922,39
"1,592",13647,37
"1,593",13643,36
"1,594",13333,34
"1,595",12438,32
"1,595",13352,32
"1,595",14168,32
"1,595",13102,32
"1,596",12811,28
"1,596",12490,28
"1,597",13860,26
"1,598",12911,25
"1,599",12864,24
"1,600",14112,18
"1,601",13475,16
"1,602",13826,15
"1,603",14854,13
"1,603",13623,13
"1,604",13353,10
"1,605",12862,5
