Rank,Zip_Code,Population,lat_long
145,11418,"38,517","40.700101, -73.835908"
146,11106,"38,363","40.762211, -73.931528"
147,10454,"38,203","40.805528, -73.916632"
148,13021,"38,114","42.922181, -76.561464"
149,11779,"38,063","40.812431, -73.116108"
150,11379,"37,851","40.715488, -73.879490"
151,11231,"37,845","40.677916, -74.005154"
152,10550,"37,817","40.905448, -73.835253"
153,11561,"37,662","40.589061, -73.651049"
154,13501,"37,646","43.081159, -75.225020"
155,13601,"37,624","43.976818, -75.914247"
156,11412,"37,458","40.696878, -73.760260"
157,11105,"37,382","40.778997, -73.906847"
158,11554,"37,358","40.720115, -73.558861"
159,11378,"37,279","40.724744, -73.909639"
160,11358,"37,190","40.760467, -73.796418"
161,11364,"36,806","40.745620, -73.757537"
162,11222,"36,492","40.728367, -73.945427"
163,11433,"36,489","40.698135, -73.787009"
164,13126,"36,335","43.438798, -76.457454"
165,11103,"36,140","40.762634, -73.913156"
166,14624,"35,885","43.128271, -77.731354"
167,10035,"35,743","40.795487, -73.929501"
168,12401,"35,339","41.938565, -74.056809"
169,12590,"34,711","41.592556, -73.886853"
170,14612,"34,259","43.266330, -77.676706"
171,11710,"34,237","40.675775, -73.535668"
172,11369,"34,118","40.763513, -73.871961"
173,11787,"34,099","40.852924, -73.211260"
174,10010,"33,730","40.739122, -73.982363"
175,10309,"33,531","40.530847, -74.221178"
176,11510,"33,484","40.653614, -73.609056"
177,12020,"33,456","43.001948, -73.868841"
178,11735,"33,454","40.734243, -73.428600"
179,11566,"33,401","40.651637, -73.551927"
180,14225,"33,328","42.928824, -78.752459"
181,14621,"33,264","43.186402, -77.601255"
182,13027,"32,949","43.173534, -76.365491"
183,12901,"32,846","44.704021, -73.471148"
184,14086,"32,671","42.905511, -78.629121"
185,13502,"32,542","43.141264, -75.154707"
186,11722,"32,524","40.785083, -73.192931"
187,11370,"32,514","40.765370, -73.893132"
188,10704,"32,223","40.919729, -73.862651"
189,11422,"32,082","40.632030, -73.766051"
190,11417,"31,927","40.676342, -73.844595"
191,10562,"31,772","41.192300, -73.833984"
192,10956,"31,619","41.156331, -73.994110"
193,11423,"31,400","40.717252, -73.768879"
194,14534,"31,303","43.056890, -77.521042"
195,12203,"31,251","42.678763, -73.845869"
196,11793,"31,238","40.650294, -73.514561"
197,10022,"31,125","40.758615, -73.967752"
198,11102,"30,800","40.772884, -73.926295"
199,10014,"30,738","40.733471, -74.007098"
200,12309,"30,397","42.790136, -73.862338"
201,11731,"30,357","40.862927, -73.316829"
202,14127,"30,297","42.753763, -78.745385"
203,10308,"30,186","40.551236, -74.150961"
204,11050,"30,132","40.839895, -73.693128"
205,11101,"30,043","40.746970, -73.937530"
206,14626,"29,901","43.216516, -77.710843"
207,10030,"29,882","40.818492, -73.943283"
208,11572,"29,846","40.630521, -73.637745"
209,11727,"29,823","40.880224, -73.002112"
210,13090,"29,758","43.152537, -76.217092"
211,14226,"29,700","42.971014, -78.796455"
212,11725,"29,578","40.840996, -73.280948"
213,10598,"29,492","41.286807, -73.798823"
214,14304,"29,375","43.100698, -78.948314"
215,13045,"29,223","42.587244, -76.188554"
216,11414,"29,219","40.658217, -73.844820"
217,11763,"29,018","40.823551, -72.980284"
218,10013,"28,709","40.720067, -74.004829"
219,11720,"28,556","40.869907, -73.081937"
220,11530,"28,454","40.728551, -73.631351"
221,13210,"28,234","43.031420, -76.125816"
222,12303,"28,233","42.753534, -73.926481"
223,12010,"28,221","42.935694, -74.172293"
224,14606,"28,198","43.170996, -77.697914"
225,11701,"28,149","40.686412, -73.412398"
227,11803,"28,018","40.781700, -73.473035"
228,11001,"27,867","40.721416, -73.707982"
229,11542,"27,773","40.869660, -73.628113"
230,10039,"27,726","40.826296, -73.937053"
231,11570,"27,722","40.665341, -73.638921"
232,14424,"27,717","42.856695, -77.303277"
233,11967,"27,649","40.805671, -72.879071"
234,14616,"27,616","43.234256, -77.653267"
235,11232,"27,602","40.655827, -74.006829"
236,11901,"27,486","40.924693, -72.648656"
237,10036,"27,428","40.759614, -73.991148"
238,11729,"27,419","40.762698, -73.321445"
239,12302,"27,407","42.878182, -73.982505"
240,11429,"27,403","40.709681, -73.738399"
241,11361,"27,246","40.764370, -73.771869"
242,12205,"27,212","42.714984, -73.824289"
243,11741,"27,149","40.794354, -73.069968"
244,11416,"27,125","40.684614, -73.849509"
245,10541,"26,656","41.377000, -73.753830"
246,12306,"26,599","42.805431, -74.044234"
247,12553,"26,465","41.460880, -74.072198"
248,10710,"26,410","40.967157, -73.846339"
249,12804,"26,272","43.340954, -73.685911"
250,13905,"26,194","42.173847, -75.936413"
251,11791,"26,121","40.829724, -73.498525"
252,11104,"26,119","40.744515, -73.920457"
253,10303,"25,947","40.629885, -74.174130"
254,14623,"25,917","43.087333, -77.641867"
255,11553,"25,869","40.702638, -73.591283"
256,12533,"25,406","41.561643, -73.787605"
257,11552,"25,178","40.692979, -73.652416"
258,11010,"25,068","40.700778, -73.675686"
259,11784,"24,992","40.869063, -73.040402"
260,11795,"24,982","40.708202, -73.303076"
261,10512,"24,716","41.447747, -73.709884"
262,11776,"24,666","40.913812, -73.046148"
263,14620,"24,542","43.127295, -77.610027"
264,13069,"24,511","43.329278, -76.380658"
265,14043,"24,420","42.900438, -78.701764"
266,14213,"24,167","42.918183, -78.892479"
267,11427,"24,037","40.729722, -73.749800"
268,14220,"23,980","42.844910, -78.822083"
269,10566,"23,951","41.287672, -73.917786"
270,14207,"23,808","42.952131, -78.898018"
271,10901,"23,538","41.161496, -74.139021"
272,10012,"23,411","40.725639, -73.998090"
273,12078,"23,381","43.134351, -74.339632"
274,11356,"23,362","40.784810, -73.841165"
275,10954,"23,354","41.099029, -74.012296"
276,10310,"23,262","40.632516, -74.116461"
277,10591,"23,077","41.090097, -73.841014"
278,14217,"22,974","42.971854, -78.875512"
279,10001,"22,924","40.750722, -73.997276"
280,12304,"22,833","42.771569, -73.895695"
281,10038,"22,800","40.709336, -74.002943"
282,13208,"22,738","43.078289, -76.145325"
283,11714,"22,714","40.743967, -73.479983"
284,14020,"22,642","43.001476, -78.214875"
285,11762,"22,606","40.682635, -73.445756"
286,14618,"22,602","43.112890, -77.557574"
287,14617,"22,589","43.224205, -77.594485"
288,14223,"22,499","42.973496, -78.846382"
289,14216,"22,280","42.949615, -78.861119"
290,13850,"22,186","42.049395, -76.017594"
291,14228,"22,103","43.044371, -78.777335"
292,12110,"22,041","42.750910, -73.775205"
293,13820,"21,997","42.483429, -75.036905"
294,13088,"21,986","43.108742, -76.186383"
295,11563,"21,965","40.657306, -73.674147"
296,10708,"21,935","40.937467, -73.833144"
297,14211,"21,900","42.907697, -78.821679"
298,10471,"21,896","40.898117, -73.900227"
298,12208,"21,896","42.652519, -73.807897"
299,10703,"21,854","40.957236, -73.881126"
300,14227,"21,846","42.886935, -78.730383"
302,11694,"21,354","40.576906, -73.846381"
303,13212,"21,349","43.127007, -76.129705"
304,11581,"21,275","40.652229, -73.714706"
305,11783,"21,265","40.673140, -73.491849"
306,11768,"21,158","40.910132, -73.324377"
307,10037,"21,139","40.813159, -73.937352"
308,11692,"20,991","40.593163, -73.793803"
309,12047,"20,935","42.782255, -73.727721"
310,14420,"20,925","43.213653, -77.937505"
311,14072,"20,897","43.017901, -78.962657"
312,11426,"20,801","40.736619, -73.723610"
313,11411,"20,759","40.694307, -73.735948"
314,10543,"20,715","40.953743, -73.736180"
315,10567,"20,563","41.289545, -73.897030"
316,11726,"20,558","40.678789, -73.395729"
317,14845,"20,451","42.203190, -76.839324"
318,14526,"20,340","43.151464, -77.444396"
319,12144,"20,272","42.627836, -73.717842"
320,14051,"20,198","43.039886, -78.704186"
321,11436,"20,077","40.675266, -73.796570"
322,14206,"19,869","42.880078, -78.810472"
323,14214,"19,775","42.939793, -78.841077"
324,14830,"19,772","42.129568, -77.029569"
325,12508,"19,747","41.495996, -73.953632"
326,11360,"19,621","40.782352, -73.780749"
327,10552,"19,569","40.924460, -73.826115"
328,10509,"19,461","41.422360, -73.580154"
329,11501,"19,393","40.746062, -73.639285"
330,11415,"19,372","40.708229, -73.827867"
331,10805,"19,215","40.897721, -73.779258"
332,14456,"19,201","42.846127, -77.006235"
333,13901,"19,195","42.185729, -75.879685"
334,14218,"18,951","42.817887, -78.824667"
335,14559,"18,937","43.189993, -77.819055"
336,11428,"18,929","40.721050, -73.742212"
337,11747,"18,922","40.788528, -73.407298"
338,12561,"18,731","41.750978, -74.110614"
339,13204,"18,728","43.051756, -76.178000"
340,11362,"18,721","40.758401, -73.733420"
341,10605,"18,643","41.007018, -73.744338"
342,11030,"18,578","40.793409, -73.688549"
343,13903,"18,496","42.041886, -75.889073"
344,10302,"18,204","40.630820, -74.137841"
345,11021,"18,185","40.786114, -73.728183"
346,14760,"18,163","42.063776, -78.404837"
347,12477,"18,162","42.091943, -73.990006"
