Rank,Zip_Code,Population,lat_long
631,10996,"6,673","41.393700, -73.972175"
632,14068,"6,632","43.026309, -78.758472"
633,12754,"6,608","41.802957, -74.745419"
634,13202,"6,581","43.043592, -76.150628"
635,12832,"6,569","43.358861, -73.318017"
636,13073,"6,475","42.583670, -76.387923"
637,12051,"6,421","42.344518, -73.828765"
638,13339,"6,396","42.936896, -74.658660"
639,12721,"6,394","41.568348, -74.427346"
640,10577,"6,373","41.041731, -73.709727"
641,11560,"6,365","40.880757, -73.588724"
642,13142,"6,338","43.556406, -76.129199"
643,14047,"6,298","42.687361, -78.986623"
644,14432,"6,297","42.956106, -77.140338"
645,12834,"6,286","43.088945, -73.500552"
646,12582,"6,272","41.550169, -73.726637"
647,11971,"6,235","41.059912, -72.427282"
648,14706,"6,189","42.106183, -78.528294"
649,13316,"6,179","43.418917, -75.739740"
652,13211,"6,145","43.104491, -76.116553"
653,12090,"6,139","42.876802, -73.351525"
654,13865,"6,135","42.064423, -75.637752"
655,12822,"6,123","43.228513, -73.922216"
656,13114,"6,120","43.463656, -76.241569"
657,12307,"6,115","42.806322, -73.934477"
658,11786,"6,111","40.944455, -72.886049"
659,11721,"6,086","40.892021, -73.370810"
660,14108,"6,082","43.264549, -78.733324"
661,12986,"6,071","44.210474, -74.506616"
661,14469,"6,071","42.873417, -77.462990"
662,14568,"6,065","43.159881, -77.281348"
663,13108,"6,050","42.964845, -76.331113"
664,12186,"6,047","42.640203, -73.982848"
665,13346,"6,045","42.817210, -75.538579"
666,13118,"6,039","42.755585, -76.387278"
667,12972,"6,034","44.555281, -73.539491"
668,13856,"6,009","42.181947, -75.161730"
669,12518,"5,988","41.401437, -74.037497"
671,14569,"5,915","42.750485, -78.169399"
672,14487,"5,910","42.810905, -77.636990"
673,12962,"5,831","44.710163, -73.594763"
674,13309,"5,823","43.476533, -75.343325"
675,14303,"5,805","43.084094, -79.031636"
676,14132,"5,792","43.152672, -78.867925"
677,14837,"5,779","42.490228, -77.016336"
678,13753,"5,777","42.295421, -74.924118"
680,11020,"5,728","40.770007, -73.712974"
681,13624,"5,715","44.209480, -76.093055"
682,10506,"5,693","41.190889, -73.638479"
683,10913,"5,610","41.068258, -73.954975"
684,11980,"5,604","40.831652, -72.923760"
685,10282,"5,593","40.717017, -74.015566"
686,13326,"5,584","42.722500, -74.895381"
687,13166,"5,572","43.068039, -76.544080"
688,10502,"5,567","41.014059, -73.839744"
689,13778,"5,557","42.359219, -75.759496"
690,14867,"5,548","42.343150, -76.618094"
691,10516,"5,542","41.462100, -73.875003"
692,12542,"5,537","41.613876, -74.015014"
693,12123,"5,492","42.522140, -73.606447"
694,14174,"5,475","43.249139, -78.998325"
695,10993,"5,433","41.209896, -73.973842"
696,14551,"5,426","43.218114, -77.049402"
697,14590,"5,412","43.245357, -76.832127"
698,12025,"5,404","43.083346, -74.138092"
698,11940,"5,404","40.809637, -72.759740"
699,14801,"5,379","42.104056, -77.292968"
700,13159,"5,348","42.824842, -76.116211"
701,14009,"5,341","42.593267, -78.397520"
702,14067,"5,328","43.212160, -78.556274"
703,14530,"5,317","42.741094, -78.014636"
704,10962,"5,314","41.050504, -73.960154"
705,14727,"5,225","42.206974, -78.297252"
706,10594,"5,215","41.110366, -73.767887"
707,11579,"5,209","40.844004, -73.644012"
708,13830,"5,196","42.442442, -75.645524"
709,13068,"5,160","42.500037, -76.365082"
710,13407,"5,155","42.965377, -74.944407"
711,10069,"5,085","40.775551, -73.989689"
712,12170,"5,061","43.001956, -73.667271"
713,12305,"5,059","42.815918, -73.944331"
714,14131,"5,039","43.235271, -78.899008"
715,12498,"5,005","42.046044, -74.109455"
716,13053,"4,980","42.479574, -76.267919"
717,10532,"4,968","41.100192, -73.798695"
718,12084,"4,959","42.704563, -73.899429"
719,14505,"4,925","43.159419, -77.168961"
720,12887,"4,919","43.550808, -73.383202"
721,11804,"4,916","40.766708, -73.451812"
722,14572,"4,910","42.564924, -77.562596"
723,12446,"4,902","41.790937, -74.314960"
724,10576,"4,891","41.221577, -73.572332"
725,12883,"4,885","43.836665, -73.552970"
726,14871,"4,879","42.039625, -76.911418"
727,13733,"4,861","42.297364, -75.478119"
728,11952,"4,841","41.001012, -72.543737"
729,12522,"4,833","41.720153, -73.581931"
730,11715,"4,832","40.749738, -73.034888"
731,10560,"4,825","41.340527, -73.597609"
732,13605,"4,816","43.807294, -76.050285"
733,12143,"4,800","42.489818, -73.855238"
734,12946,"4,790","44.273458, -73.962583"
735,14510,"4,772","42.683839, -77.881897"
736,12545,"4,750","41.779068, -73.677258"
737,14787,"4,739","42.311648, -79.571405"
738,14036,"4,729","42.973851, -78.389527"
739,11568,"4,704","40.786513, -73.598478"
740,14883,"4,670","42.243022, -76.472102"
741,12845,"4,647","43.424813, -73.718378"
742,14423,"4,631","42.937814, -77.835109"
743,12053,"4,621","42.757543, -74.190866"
744,14546,"4,608","43.032675, -77.780006"
745,11942,"4,597","40.850055, -72.587962"
745,11514,"4,597","40.749920, -73.614017"
746,14105,"4,570","43.180186, -78.486578"
747,13452,"4,553","43.043056, -74.630470"
748,14136,"4,551","42.521331, -79.175253"
749,12992,"4,517","44.826541, -73.532192"
750,13140,"4,509","43.060381, -76.650274"
751,12871,"4,492","43.088569, -73.612965"
752,14750,"4,483","42.076991, -79.327748"
753,14512,"4,446","42.645241, -77.399770"
754,12037,"4,444","42.338761, -73.565767"
755,10464,"4,434","40.867099, -73.797609"
755,12580,"4,434","41.863651, -73.871535"
756,12885,"4,432","43.524438, -73.821873"
757,13862,"4,429","42.330958, -75.931008"
758,12148,"4,414","42.827793, -73.848164"
759,14532,"4,389","42.964101, -77.032088"
760,13082,"4,380","43.102730, -75.959888"
761,10916,"4,361","41.442343, -74.250577"
762,12594,"4,357","41.646342, -73.562593"
763,14737,"4,351","42.329050, -78.428611"
764,14433,"4,350","43.077038, -76.878578"
765,13849,"4,334","42.364096, -75.315824"
766,13329,"4,330","43.110979, -74.703510"
,13811,"4,313","42.225336, -76.179839"
767,12122,"4,313","42.545070, -74.308047"
768,13838,"4,284","42.285099, -75.388127"
769,13460,"4,279","42.686926, -75.458076"
770,10963,"4,276","41.472208, -74.542990"
771,12816,"4,269","43.043657, -73.363490"
772,14541,"4,255","42.763430, -76.844570"
773,14802,"4,251","42.254333, -77.789646"
774,13803,"4,240","42.470065, -76.072120"
775,12157,"4,228","42.669798, -74.286077"
776,10524,"4,227","41.375242, -73.926122"
777,14891,"4,210","42.377014, -76.946182"
778,12134,"4,186","43.235596, -74.140135"
779,12833,"4,182","43.140518, -73.857206"
780,14080,"4,158","42.634961, -78.561244"
781,11944,"4,121","41.106515, -72.369487"
782,14772,"4,108","42.157470, -78.952618"
783,12944,"4,100","44.442367, -73.514751"
784,13074,"4,078","43.319627, -76.550317"
785,14882,"4,072","42.580117, -76.553258"
786,13030,"4,057","43.148972, -76.033624"
786,10928,"4,057","41.348970, -73.998495"
786,13637,"4,057","44.106202, -75.818322"
787,13634,"4,049","44.026880, -76.083381"
788,13602,"4,007","44.061817, -75.741909"
789,14485,"3,989","42.882635, -77.601026"
790,14042,"3,966","42.462371, -78.473211"
791,13456,"3,962","43.000897, -75.260892"
792,12790,"3,956","41.563427, -74.527399"
793,13317,"3,954","42.862103, -74.589232"
794,13833,"3,947","42.198205, -75.768632"
795,13354,"3,944","43.261606, -75.270920"
797,10921,"3,911","41.328266, -74.372269"
798,12758,"3,908","41.940283, -74.739118"
799,10925,"3,878","41.222743, -74.292681"
800,14733,"3,844","42.160122, -79.172199"
801,11796,"3,826","40.729245, -73.099841"
802,10548,"3,817","41.247875, -73.941802"
803,12027,"3,815","42.935415, -73.907816"
804,13033,"3,801","43.188494, -76.562626"
805,11955,"3,785","40.809125, -72.816096"
806,13748,"3,779","42.042579, -75.822521"
807,13408,"3,775","42.919020, -75.664315"
808,11732,"3,764","40.852904, -73.537599"
808,14548,"3,764","42.976397, -77.240263"
809,12083,"3,760","42.424856, -74.026466"
810,13131,"3,736","43.423243, -76.091802"
810,13476,"3,736","43.087503, -75.509514"
811,13084,"3,734","42.880541, -76.124474"
812,14125,"3,733","43.084919, -78.274609"
813,12865,"3,688","43.214159, -73.347451"
814,12827,"3,665","43.440555, -73.506595"
815,11954,"3,655","41.047283, -71.949541"
816,12526,"3,639","42.122234, -73.858769"
817,13491,"3,617","42.864135, -75.168133"
818,11719,"3,604","40.780748, -72.909617"
819,13743,"3,576","42.217061, -76.332567"
820,14823,"3,561","42.249138, -77.558954"
821,11697,"3,540","40.555681, -73.920688"
822,14416,"3,528","43.083960, -77.992253"
823,13439,"3,518","42.853508, -74.998075"
824,13116,"3,504","43.074754, -76.007939"
825,13787,"3,502","42.200328, -75.665581"
826,12809,"3,493","43.241806, -73.471231"
827,12487,"3,483","41.877496, -73.999323"
828,14202,"3,474","42.881855, -78.877198"
829,10926,"3,467","41.276440, -74.116509"
830,10006,"3,454","40.707970, -74.013610"
831,12449,"3,433","41.997728, -73.992872"
832,13655,"3,431","44.982056, -74.650084"
833,14719,"3,424","42.341958, -78.875953"
833,13795,"3,424","42.056638, -75.778938"
834,13480,"3,398","42.917856, -75.363163"
835,13132,"3,397","43.271927, -76.251046"
836,12543,"3,395","41.485123, -74.220417"
837,12443,"3,378","41.934991, -74.084925"
838,12196,"3,371","42.631786, -73.613946"
839,14812,"3,366","42.286166, -76.974274"
840,10958,"3,365","41.379281, -74.423711"
841,14543,"3,360","42.990648, -77.679529"
843,10987,"3,342","41.199212, -74.224545"
844,14111,"3,337","42.584773, -78.895160"
845,13080,"3,329","43.080922, -76.465078"
846,12531,"3,323","41.520881, -73.659921"
847,13417,"3,317","43.101278, -75.293446"
848,13471,"3,313","43.378027, -75.610579"
849,12404,"3,306","41.818967, -74.236062"
850,12138,"3,300","42.748844, -73.370413"
851,14757,"3,298","42.246047, -79.504370"
852,13668,"3,291","44.755152, -74.998740"
853,14710,"3,268","42.087770, -79.419847"
854,13438,"3,253","43.354138, -75.159614"
855,14062,"3,248","42.451343, -79.166476"
856,14738,"3,247","42.045388, -79.056846"
857,12846,"3,243","43.345954, -73.789719"
858,13754,"3,233","42.088482, -75.447962"
859,14025,"3,223","42.621454, -78.726069"
860,13167,"3,215","43.330099, -76.066134"
861,12850,"3,204","43.102616, -73.981441"
862,11935,"3,199","41.021223, -72.486958"
863,13825,"3,193","42.455996, -75.191937"
864,13411,"3,189","42.633789, -75.306457"
865,14821,"3,186","42.238903, -77.207758"
866,14712,"3,178","42.183745, -79.361923"
867,10974,"3,175","41.154310, -74.200465"
868,11724,"3,160","40.856500, -73.452894"
869,10998,"3,157","41.324048, -74.541192"
870,14081,"3,130","42.563205, -79.067832"
871,12919,"3,121","44.959984, -73.454730"
872,13667,"3,118","44.837240, -74.960450"
873,13656,"3,108","44.192235, -75.955486"
874,13308,"3,106","43.251374, -75.660412"
875,12117,"3,094","43.169293, -74.261094"
876,12068,"3,083","42.956072, -74.401834"
877,14755,"3,080","42.233756, -78.804596"
878,11718,"3,069","40.723177, -73.268488"
879,14517,"3,063","42.593398, -77.892894"
880,11978,"3,058","40.829341, -72.629768"
881,13461,"3,031","43.077098, -75.587609"
882,10004,"3,028","40.691870, -74.014109"
883,14561,"3,021","42.819550, -77.130007"
884,12015,"3,006","42.292243, -73.821532"
885,14865,"2,981","42.356119, -76.826721"
886,14172,"2,978","43.286046, -78.818100"
887,11548,"2,963","40.814616, -73.622003"
889,12567,"2,951","41.983070, -73.660642"
890,12520,"2,947","41.428017, -73.996195"
891,14807,"2,946","42.410670, -77.721044"
892,13332,"2,939","42.764187, -75.581764"
893,14735,"2,931","42.452690, -78.096169"
894,12514,"2,905","41.877418, -73.764441"
894,14098,"2,905","43.333873, -78.378758"
896,12547,"2,899","41.660687, -73.986567"
897,12074,"2,895","43.078638, -74.060443"
898,12072,"2,884","42.884893, -74.356741"
899,13691,"2,878","44.227220, -75.773875"
900,12525,"2,858","41.689432, -74.208280"
901,12075,"2,850","42.299922, -73.633627"
902,14715,"2,840","42.076533, -78.144754"
903,12413,"2,815","42.313984, -74.022160"
903,12546,"2,815","41.948000, -73.523357"
904,13060,"2,809","43.024403, -76.423425"
905,10588,"2,808","41.316837, -73.829264"
906,12154,"2,807","42.927812, -73.590652"
907,12458,"2,804","41.857544, -74.389725"
908,14034,"2,800","42.495620, -78.860854"
909,10984,"2,780","41.202903, -74.022265"
910,14770,"2,777","42.025254, -78.293380"
911,12821,"2,766","43.453350, -73.408531"
912,13478,"2,760","43.144012, -75.581897"
913,14435,"2,750","42.711869, -77.666023"
914,14716,"2,746","42.376294, -79.436818"
914,14739,"2,746","42.197690, -78.155910"
915,12056,"2,743","42.764876, -74.100328"
916,12167,"2,737","42.423174, -74.598846"
917,12529,"2,730","42.198740, -73.542728"
918,13654,"2,722","44.571770, -75.488083"
919,12501,"2,719","41.853423, -73.557731"
920,12788,"2,717","41.787539, -74.589314"
921,13606,"2,716","43.866400, -76.022787"
922,14840,"2,712","42.441073, -77.188573"
923,13143,"2,706","43.235788, -76.714793"
925,12966,"2,685","44.798893, -74.418686"
926,13730,"2,683","42.238949, -75.571439"
927,12484,"2,671","41.861839, -74.176528"
928,13783,"2,665","41.993562, -75.290452"
929,14471,"2,651","42.747504, -77.499442"
930,13044,"2,621","43.304757, -75.993273"
931,14525,"2,607","42.869999, -78.011531"
932,13042,"2,604","43.260450, -75.852580"
933,12183,"2,591","42.746893, -73.693861"
934,13164,"2,587","43.092042, -76.313051"
935,14873,"2,578","42.515864, -77.304978"
936,13613,"2,574","44.843198, -74.749024"
937,14817,"2,556","42.365570, -76.332004"
938,12094,"2,550","42.899423, -73.489795"
939,14170,"2,544","42.700245, -78.674307"
940,14775,"2,530","42.228753, -79.699933"
941,13685,"2,520","43.925467, -76.085519"
942,13409,"2,519","42.974873, -75.596977"
943,12859,"2,489","43.167174, -73.896576"
944,13812,"2,482","42.034436, -76.348183"
945,13092,"2,479","42.654563, -76.419295"
946,13424,"2,468","43.158842, -75.357088"
947,12583,"2,465","42.059591, -73.883626"
948,12921,"2,464","44.888344, -73.432591"
949,11977,"2,455","40.844797, -72.694993"
950,14516,"2,454","43.197860, -76.911334"
951,14139,"2,438","42.711704, -78.528617"
952,14782,"2,435","42.265414, -79.259701"
953,13040,"2,434","42.576696, -75.937895"
954,12106,"2,427","42.386683, -73.711898"
955,13459,"2,405","42.775005, -74.588674"
956,12466,"2,402","41.905034, -73.985610"
957,14847,"2,395","42.608582, -76.734212"
958,12149,"2,388","42.630367, -74.559012"
959,13324,"2,382","43.317924, -74.958912"
960,14012,"2,379","43.332173, -78.532622"
961,10968,"2,363","41.036334, -73.921633"
962,12958,"2,362","44.953538, -73.572922"
963,14724,"2,361","42.046328, -79.669830"
965,14521,"2,357","42.688238, -76.804245"
965,10976,"2,357","41.021423, -73.922172"
966,13146,"2,354","43.100853, -76.756859"
967,13416,"2,346","43.187390, -74.970566"
968,13622,"2,344","44.086743, -76.100111"
969,12920,"2,339","44.911936, -74.067219"
970,14422,"2,333","43.087057, -78.059979"
971,12835,"2,328","43.311938, -74.012886"
972,14813,"2,325","42.246862, -77.967713"
973,13612,"2,322","43.985237, -75.769370"
974,13076,"2,314","43.353717, -76.149319"
975,12581,"2,313","41.900541, -73.692273"
976,12981,"2,301","44.627097, -73.845850"
976,13101,"2,301","42.599501, -76.066293"
977,13648,"2,298","44.136851, -75.285638"
978,13658,"2,288","44.743083, -75.279399"
979,14809,"2,279","42.422712, -77.441531"
979,13363,"2,279","43.337328, -75.512822"
980,14476,"2,274","43.329379, -78.042800"
981,14744,"2,268","42.424066, -78.217658"
982,12185,"2,262","42.922756, -73.545061"
983,13673,"2,260","44.180844, -75.726040"
984,13120,"2,250","42.933170, -76.175146"
985,13620,"2,245","43.908782, -75.448325"
985,13626,"2,245","43.844972, -75.739558"
986,14604,"2,243","43.157078, -77.604677"
987,13616,"2,229","44.032051, -75.870748"
988,12979,"2,223","44.987143, -73.375296"
989,12776,"2,214","41.963392, -74.958769"
990,12918,"2,208","44.663770, -73.699653"
991,12578,"2,206","41.808483, -73.781304"
992,14747,"2,201","42.158209, -79.084048"
993,13495,"2,197","43.114019, -75.271854"
994,13797,"2,194","42.333665, -76.040401"
995,12926,"2,192","44.950817, -74.328997"
996,14040,"2,179","42.882168, -78.377535"
997,12748,"2,160","41.770795, -74.928957"
998,10511,"2,158","41.261063, -73.948349"
999,11509,"2,153","40.587962, -73.729710"
999,13736,"2,153","42.323579, -76.192978"
"1,000",14767,"2,146","42.040452, -79.514296"
"1,001",14560,"2,142","42.690701, -77.582961"
"1,002",12023,"2,134","42.598558, -74.183022"
"1,003",14818,"2,129","42.454933, -76.818927"
"1,004",10973,"2,123","41.380516, -74.480462"
"1,005",12817,"2,119","43.639819, -73.818906"
"1,005",12912,"2,119","44.480950, -73.772496"
"1,006",13425,"2,113","42.970137, -75.490673"
"1,007",10537,"2,106","41.355369, -73.879979"
"1,008",13320,"2,102","42.777805, -74.740798"
"1,009",12173,"2,100","42.371855, -73.754161"
"1,010",13843,"2,099","42.566573, -75.389210"
"1,011",12780,"2,097","41.457111, -74.701686"
"1,012",14879,"2,090","42.307683, -77.202498"
"1,013",14781,"2,089","42.161603, -79.601288"
"1,014",12996,"2,079","44.355279, -73.448053"
"1,015",13083,"2,069","43.650543, -75.982795"
"1,016",13327,"2,056","43.972929, -75.262309"
"1,016",12916,"2,056","44.829345, -74.514650"
"1,017",13160,"2,055","42.827598, -76.648904"
"1,018",11964,"2,054","41.055701, -72.316976"
"1,019",12168,"2,053","42.560992, -73.387574"
"1,020",12937,"2,045","44.954775, -74.471763"
"1,021",14427,"2,044","42.615137, -78.050762"
"1,022",13110,"2,038","42.889042, -76.276926"
"1,023",12057,"2,036","42.960614, -73.351947"
"1,024",13646,"2,030","44.446084, -75.674193"
"1,025",12575,"2,028","41.486109, -74.158896"
"1,025",13734,"2,028","42.069955, -76.409653"
"1,026",14544,"2,026","42.756251, -77.243735"
"1,027",12197,"2,023","42.609999, -74.724749"
"1,028",14533,"2,021","42.853887, -77.902665"
"1,029",14806,"2,015","42.156645, -77.792643"
"1,030",12910,"2,006","44.860024, -73.659348"
"1,030",14138,"2,006","42.367234, -79.047120"
"1,031",11941,"2,004","40.828756, -72.718536"
"1,032",14826,"2,000","42.491464, -77.497778"
"1,032",13746,"2,000","42.237222, -75.862775"
"1,032",12759,"2,000","41.786385, -74.660591"
"1,033",12440,"1,999","41.803951, -74.140091"
"1,034",11976,"1,996","40.929237, -72.347410"
"1,035",12747,"1,992","41.750928, -74.692894"
"1,035",12783,"1,992","41.738633, -74.833724"
"1,036",13679,"1,989","44.291541, -75.845822"
"1,037",13063,"1,988","42.847233, -75.967841"
"1,037",14718,"1,988","42.345814, -79.287617"
"1,038",13034,"1,987","42.961986, -76.711189"
"1,039",13144,"1,986","43.568747, -75.977023"
"1,039",12775,"1,986","41.623302, -74.592546"
"1,040",14005,"1,973","42.917699, -78.241631"
"1,041",12577,"1,972","41.424982, -74.109743"
"1,041",14101,"1,972","42.386295, -78.536979"
"1,042",12779,"1,959","41.696285, -74.628008"
"1,043",12740,"1,958","41.879181, -74.495101"
"1,044",14171,"1,956","42.424674, -78.649832"
"1,045",12192,"1,954","42.417040, -73.817206"
"1,046",12789,"1,952","41.694323, -74.574261"
"1,047",14058,"1,951","43.109493, -78.160006"
"1,048",14898,"1,950","42.053364, -77.429500"
"1,049",14711,"1,915","42.321632, -78.131646"
"1,050",12957,"1,899","44.842599, -74.575140"
"1,051",13156,"1,896","43.325994, -76.661304"
"1,051",13697,"1,896","44.754714, -74.810347"
"1,052",14504,"1,873","42.967777, -77.233608"
"1,053",13625,"1,863","44.542508, -74.910389"
"1,054",12070,"1,860","42.981313, -74.265712"
"1,055",12928,"1,858","43.963848, -73.583301"
"1,056",10917,"1,855","41.322562, -74.120871"
"1,058",13433,"1,844","43.589518, -75.242417"
"1,059",13112,"1,843","43.095233, -76.407971"
"1,060",14814,"1,833","42.141860, -76.950494"
"1,061",14726,"1,829","42.253585, -79.020279"
"1,062",12193,"1,828","42.507525, -74.038399"
"1,063",14741,"1,809","42.219966, -78.611624"
"1,063",12155,"1,809","42.584407, -74.837289"
"1,064",13493,"1,792","43.432843, -75.897509"
"1,065",10986,"1,791","41.272382, -73.985586"
"1,065",12729,"1,791","41.489701, -74.613104"
"1,066",14838,"1,786","42.183871, -76.658655"
"1,067",14145,"1,785","42.729606, -78.434328"
"1,068",12066,"1,784","42.795866, -74.317456"
"1,069",12737,"1,782","41.486964, -74.798585"
"1,070",14743,"1,780","42.201818, -78.407487"
"1,071",14030,"1,775","42.559707, -78.490059"
"1,072",13402,"1,774","42.908511, -75.499306"
"1,073",13431,"1,773","43.209082, -75.073328"
"1,074",13343,"1,772","43.742548, -75.326461"
"1,075",13775,"1,769","42.332984, -75.159583"
"1,076",14065,"1,763","42.488879, -78.315214"
"1,077",12137,"1,762","42.860367, -74.133040"
"1,078",13490,"1,757","43.109467, -75.424150"
"1,079",13428,"1,754","42.915071, -74.546238"
"1,079",14033,"1,754","42.660306, -78.684252"
"1,080",11005,"1,749","40.756578, -73.714178"
"1,080",12455,"1,749","42.107292, -74.661592"
"1,081",13026,"1,734","42.756705, -76.651626"
"1,082",12062,"1,730","42.547941, -73.544568"
"1,084",13302,"1,722","43.498110, -75.965068"
"1,085",12461,"1,718","41.926103, -74.301048"
"1,086",14481,"1,709","42.770069, -77.921401"
"1,087",14013,"1,708","43.086290, -78.397746"
"1,088",14028,"1,703","43.318386, -78.719214"
"1,089",13652,"1,696","44.435240, -75.223166"
"1,090",12207,"1,688","42.658332, -73.746412"
"1,091",13650,"1,687","43.819731, -76.217537"
"1,092",14203,"1,666","42.848139, -78.847987"
"1,092",12116,"1,666","42.538795, -74.911164"
"1,093",13054,"1,665","43.169352, -75.666823"
"1,094",14889,"1,659","42.234171, -76.578897"
"1,095",12059,"1,657","42.619229, -74.060894"
"1,096",12058,"1,656","42.345129, -73.918376"
"1,097",12935,"1,651","44.843039, -73.749557"
"1,098",12733,"1,642","41.727393, -74.606582"
"1,099",12516,"1,640","42.108103, -73.551361"
"1,100",12067,"1,635","42.557461, -73.920294"
"1,101",12093,"1,632","42.497796, -74.628095"
"1,102",14167,"1,621","42.750032, -78.324679"
"1,103",13111,"1,616","43.258488, -76.614264"
"1,104",12974,"1,602","44.043787, -73.472821"
"1,105",12121,"1,597","42.851135, -73.612683"
"1,105",12052,"1,597","42.747432, -73.463447"
"1,106",12463,"1,594","42.185728, -74.028971"
"1,107",13304,"1,593","43.231963, -75.170870"
"1,108",14550,"1,589","42.676483, -78.098453"
"1,109",10162,"1,584","40.769298, -73.949942"
"1,110",12764,"1,583","41.591553, -74.995556"
"1,111",12853,"1,577","43.657984, -74.064603"
"1,112",12870,"1,576","43.844949, -73.755934"
"1,113",10526,"1,572","41.294835, -73.662114"
"1,114",14024,"1,567","42.567837, -78.234911"
"1,115",13145,"1,566","43.651660, -76.123014"
"1,116",13618,"1,563","44.114766, -76.290981"
"1,117",14055,"1,562","42.562879, -78.600126"
"1,118",12723,"1,561","41.775783, -75.018807"
"1,118",14880,"1,561","42.172558, -77.974607"
"1,119",13660,"1,558","44.773868, -75.160958"
"1,119",12486,"1,558","41.834702, -74.062603"
"1,120",13328,"1,554","42.981397, -75.426471"
"1,121",12140,"1,552","42.696684, -73.540064"
"1,122",12060,"1,551","42.410399, -73.505286"
"1,123",13809,"1,546","42.410311, -75.428623"
"1,124",13608,"1,544","44.254686, -75.615340"
"1,125",13315,"1,543","42.739121, -75.136119"
"1,126",13158,"1,539","42.717351, -75.973408"
"1,127",12451,"1,536","42.309379, -73.958879"
"1,128",12491,"1,535","41.965186, -74.141441"
"1,129",13808,"1,534","42.530472, -75.254515"
"1,130",14478,"1,526","42.572191, -77.128404"
"1,131",13052,"1,522","42.745091, -75.863841"
"1,132",13335,"1,519","42.705575, -75.247960"
"1,133",12076,"1,514","42.399716, -74.390523"
"1,134",12523,"1,512","42.069887, -73.753418"
"1,135",12086,"1,505","43.009005, -74.086332"
"1,136",12485,"1,502","42.204654, -74.116052"
"1,137",12515,"1,499","41.679444, -74.064879"
"1,139",14591,"1,497","42.832021, -78.107328"
"1,140",10546,"1,496","41.203621, -73.796171"
"1,141",10919,"1,491","41.526746, -74.378036"
"1,142",14466,"1,482","42.779916, -77.583278"
"1,143",12472,"1,472","41.849570, -74.076786"
"1,144",14054,"1,471","42.908684, -78.148894"
"1,145",14129,"1,470","42.481182, -79.017384"
"1,146",12496,"1,463","42.319697, -74.241265"
"1,147",13680,"1,460","44.595988, -75.323398"
"1,148",13630,"1,451","44.498619, -75.311532"
"1,149",14709,"1,450","42.356494, -77.982064"
"1,150",13694,"1,441","44.857601, -75.146018"
"1,151",13477,"1,437","43.035802, -75.516213"
"1,152",12521,"1,431","42.171332, -73.650529"
"1,153",13348,"1,419","42.707256, -75.057189"
"1,154",13801,"1,413","42.505085, -75.776970"
"1,155",14804,"1,402","42.314417, -77.851435"
"1,156",13796,"1,400","42.548152, -75.145203"
"1,157",12481,"1,398","41.976090, -74.207238"
"1,158",10501,"1,394","41.288104, -73.759211"
"1,159",12993,"1,387","44.193847, -73.489177"
"1,160",12125,"1,385","42.475027, -73.412709"
"1,161",14858,"1,382","42.036293, -77.134052"
"1,162",13464,"1,378","42.687973, -75.615788"
"1,164",12956,"1,370","44.097612, -73.481333"
"1,165",13661,"1,368","43.720822, -76.097899"
"1,166",12814,"1,354","43.624528, -73.636205"
"1,167",14477,"1,349","43.335707, -78.133393"
"1,168",14506,"1,346","43.002205, -77.505265"
"1,169",12941,"1,345","44.349395, -73.727808"
"1,170",14418,"1,333","42.604430, -77.216428"
"1,171",12917,"1,332","44.939317, -74.174695"
"1,172",13757,"1,318","42.405103, -74.924223"
"1,173",14008,"1,315","43.309798, -78.629027"
"1,174",14571,"1,313","43.345849, -78.253890"
"1,175",14861,"1,310","42.099275, -76.681052"
"1,176",13318,"1,305","42.920182, -75.261538"
"1,177",14869,"1,302","42.368195, -76.768955"
"1,178",13122,"1,289","42.838680, -75.844781"
"1,179",14066,"1,286","42.615091, -78.186176"
"1,180",12719,"1,284","41.483758, -74.916637"
"1,181",10964,"1,283","41.017211, -73.913870"
"1,182",13807,"1,278","42.629776, -75.028841"
"1,183",12985,"1,277","44.564739, -73.715975"
"1,184",13835,"1,276","42.393463, -76.155520"
"1,184",12980,"1,276","44.560173, -74.589754"
"1,185",12726,"1,266","41.699480, -74.988521"
"1,186",14864,"1,253","42.285203, -76.845703"
"1,186",14894,"1,253","42.019488, -76.750371"
"1,187",13607,"1,247","44.338200, -75.887805"
"1,188",12592,"1,243","41.783329, -73.556777"
"1,189",14507,"1,236","42.675374, -77.305556"
"1,190",14614,"1,232","43.157055, -77.615197"
"1,191",10518,"1,231","41.277016, -73.602519"
"1,192",12502,"1,223","42.083350, -73.656655"
"1,193",12903,"1,215","44.684070, -73.445756"
"1,194",12548,"1,213","41.657693, -74.101817"
"1,196",12932,"1,194","44.195277, -73.609298"
"1,197",12166,"1,193","42.844633, -74.460179"
"1,198",12967,"1,186","44.772993, -74.662821"
"1,199",14860,"1,182","42.577999, -76.830889"
"1,200",13635,"1,177","44.286726, -75.280789"
"1,201",11972,"1,171","40.818205, -72.701844"
"1,202",12565,"1,165","42.248157, -73.645187"
"1,203",14102,"1,163","42.835266, -78.563136"
"1,204",12913,"1,162","44.437184, -74.009083"
"1,204",13615,"1,162","44.007217, -75.979240"
"1,205",12156,"1,151","42.470821, -73.748257"
"1,206",13755,"1,148","42.079360, -75.011893"
"1,206",14753,"1,148","42.040451, -78.638622"
"1,207",13147,"1,147","42.775406, -76.569608"
"1,207",12430,"1,147","42.200758, -74.499160"
