DOLocationID,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,PUlatitude,PUlongitude,DOlatitude,DOlongitude
1,2,01/02/2019 10:30:59 AM,01/02/2019 10:31:04 AM,1,0.0,5,N,1,65.0,0.0,0.0,0.0,0.0,0.3,65.3,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,1,01/02/2019 11:00:49 AM,01/02/2019 11:01:23 AM,1,0.0,5,N,1,95.0,0.0,0.0,10.0,0.0,0.3,105.3,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,2,01/02/2019 12:37:17 PM,01/02/2019 12:37:27 PM,1,0.0,5,N,1,85.0,0.0,0.5,19.26,10.5,0.3,115.56,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,1,01/02/2019 01:20:28 PM,01/02/2019 01:21:55 PM,2,17.7,5,Y,4,0.0,0.0,0.0,0.0,0.0,0.3,0.3,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,1,01/02/2019 01:24:03 PM,01/02/2019 01:25:25 PM,2,0.0,5,N,1,40.0,0.0,0.0,0.0,0.0,0.3,40.3,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,2,01/02/2019 01:02:04 PM,01/02/2019 01:02:07 PM,1,0.0,5,N,1,95.0,0.0,0.0,0.08,0.0,0.3,95.38,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,1,01/02/2019 01:27:56 PM,01/02/2019 01:28:55 PM,0,0.0,5,N,1,97.0,0.0,0.0,19.45,0.0,0.3,116.75,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,1,01/02/2019 02:35:15 PM,01/02/2019 02:35:23 PM,1,0.0,1,N,2,2.5,0.0,0.5,0.0,0.0,0.3,3.3,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,2,01/02/2019 02:50:03 PM,01/02/2019 02:50:29 PM,1,0.15,2,N,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,2,01/02/2019 02:20:43 PM,01/02/2019 02:20:46 PM,1,0.0,5,N,1,99.0,0.0,0.0,0.01,0.0,0.3,99.31,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,1,01/02/2019 03:14:36 PM,01/02/2019 03:15:41 PM,1,0.0,5,N,1,86.0,0.0,0.0,0.0,0.0,0.3,86.3,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,2,01/02/2019 04:43:29 PM,01/02/2019 04:43:55 PM,4,0.0,5,N,1,110.0,0.0,0.5,27.7,0.0,0.3,138.5,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,2,01/02/2019 05:46:17 PM,01/02/2019 05:46:52 PM,1,0.0,5,N,2,40.0,0.0,0.0,0.0,0.0,0.3,40.3,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,2,01/02/2019 05:48:28 PM,01/02/2019 05:48:36 PM,1,0.0,5,N,1,20.0,0.0,0.0,4.06,0.0,0.3,24.36,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,2,01/02/2019 05:49:29 PM,01/02/2019 05:49:35 PM,1,0.0,5,N,1,20.0,0.0,0.0,0.0,0.0,0.3,20.3,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
1,2,01/02/2019 05:46:44 PM,01/02/2019 05:46:49 PM,1,0.01,5,N,1,40.0,0.0,0.5,10.2,0.0,0.3,51.0,,40.68948349999988,-74.17153349999995,40.68948349999988,-74.17153349999995
