,objectid,shape_leng,shape_area,zone,locationid,borough,longitude,latitude
0,1,0.11635745319,0.00078230679,Newark Airport,1,EWR,-74.17153349999995,40.68948349999988
1,2,0.43346966679,0.00486634038,Jamaica Bay,2,Queens,-73.82247803552738,40.610823534638214
2,3,0.0843411059,0.00031441416,Allerton/Pelham Gardens,3,Bronx,-73.84495310749989,40.865747300999914
3,4,0.04356652709,0.00011187195,Alphabet City,4,Manhattan,-73.97772542292921,40.72413692699997
4,5,0.09214648986,0.00049795749,Arden Heights,5,Staten Island,-74.18755828249991,40.55066406499992
5,6,0.15049054252,0.00060646098,Arrochar/Fort Wadsworth,6,Staten Island,-74.07256563877093,40.599042762217536
6,7,0.10741717112,0.00038978799,Astoria,7,Queens,-73.92030746749995,40.76108286549989
7,8,0.02759069116,2.658772e-05,Astoria Park,8,Queens,-73.92312156108176,40.77862509038407
8,9,0.09978409247,0.0003384438,Auburndale,9,Queens,-73.78651680849993,40.75434276799987
9,24,0.04699996193,6.072357e-05,Bloomingdale,24,Manhattan,-73.96552238095356,40.801915687294766
10,10,0.09983947942,0.00043582382,Baisley Park,10,Queens,-73.78898557749989,40.67825618399989
11,11,0.07921103896,0.00026452054,Bath Beach,11,Brooklyn,-74.00751040830949,40.604014491068824
12,12,0.03666130136,4.151162e-05,Battery Park,12,Manhattan,-74.01572589184049,40.7024970629341
13,13,0.05028132286,0.00014935859,Battery Park City,13,Manhattan,-74.01589181962237,40.71153468920308
14,18,0.06979954986,0.00014885016,Bedford Park,18,Bronx,-73.8912742834999,40.86867793799988
15,25,0.04714581993,0.00012416827,Boerum Hill,25,Brooklyn,-73.98647201599982,40.685719242499886
16,14,0.17521369805,0.00138177826,Bay Ridge,14,Brooklyn,-74.0285213693821,40.623592755703555
17,15,0.14433622262,0.0009252194,Bay Terrace/Fort Totten,15,Queens,-73.78527445765596,40.784888059040995
18,22,0.1261702292,0.00047206268,Bensonhurst West,22,Brooklyn,-73.9950711269999,40.60968152803109
19,23,0.29055602896,0.00219556576,Bloomfield/Emerson Hill,23,Staten Island,-74.16044164396826,40.60745009891912
20,16,0.14129187377,0.00087188945,Bayside,16,Queens,-73.77471369291123,40.761215537999924
21,17,0.09352263295,0.00032295765,Bedford,17,Brooklyn,-73.95068947349995,40.69177696199986
22,19,0.10182487545,0.00054666109,Bellerose,19,Queens,-73.72861067890516,40.73673660794557
23,20,0.05144019244,0.00013451263,Belmont,20,Bronx,-73.88619042849992,40.85773933999991
24,21,0.11597356906,0.00038025135,Bensonhurst East,21,Brooklyn,-73.9858580212229,40.601994973510216
25,26,0.12354780707,0.00053403993,Borough Park,26,Brooklyn,-73.99012981799996,40.62860035949991
26,27,0.20250880852,0.00134088763,Breezy Point/Fort Tilden/Riis Beach,27,Queens,-73.90170527256132,40.558939924102425
27,28,0.09796078221,0.00029120393,Briarwood/Jamaica Hills,28,Queens,-73.80832597049987,40.710740815999884
28,33,0.0532702932,0.0001474168,Brooklyn Heights,33,Brooklyn,-73.99602169307266,40.696256942465965
29,29,0.07140831277,0.00020167384,Brighton Beach,29,Brooklyn,-73.96062421335655,40.58251411936592
30,31,0.09642456665,0.00033397593,Bronx Park,31,Bronx,-73.8761049054999,40.86001570749994
31,32,0.05426721601,0.00015087917,Bronxdale,32,Bronx,-73.86386018649993,40.86438838349992
32,30,0.09450976698,0.00014586211,Broad Channel,30,Queens,-73.82479984955917,40.60490930856771
33,34,0.06570593235,0.00017394615,Brooklyn Navy Yard,34,Brooklyn,-73.97231938410377,40.70250752257604
34,35,0.08578791859,0.0003238252,Brownsville,35,Brooklyn,-73.91259334499993,40.66380131049988
35,189,0.04867433065,0.00010142759,Prospect Heights,189,Brooklyn,-73.96812739849992,40.67722034799988
36,36,0.08705078671,0.00024766614,Bushwick North,36,Brooklyn,-73.9175758074999,40.69897118749988
37,37,0.14281004047,0.00045206264,Bushwick South,37,Brooklyn,-73.92042706849989,40.69629654699987
38,38,0.08321756852,0.00032739268,Cambria Heights,38,Queens,-73.73676400060572,40.6933613634869
39,39,0.13236962076,0.00090028294,Canarsie,39,Brooklyn,-73.89854748942136,40.63886089269232
40,40,0.05185066488,0.00010894921,Carroll Gardens,40,Brooklyn,-73.99525822599992,40.67854205949989
41,41,0.05279310945,0.00014309304,Central Harlem,41,Manhattan,-73.95070912799989,40.80417635649991
42,45,0.04590686262,9.135947e-05,Chinatown,45,Manhattan,-73.99883418899992,40.7129822358378
43,46,0.13447542988,0.00092639168,City Island,46,Bronx,-73.77942003413594,40.847487305955916
44,42,0.09270922746,0.00026389695,Central Harlem North,42,Manhattan,-73.94296557610663,40.82096513630884
45,43,0.09973861836,0.00037966291,Central Park,43,Manhattan,-73.96543425149989,40.782430709999886
46,44,0.23568896759,0.00194465649,Charleston/Tottenville,44,Staten Island,-74.23064370757598,40.527315700585106
47,47,0.08982755633,0.00016319812,Claremont/Bathgate,47,Bronx,-73.90038283149991,40.84531677249989
48,48,0.04374674414,9.425384e-05,Clinton East,48,Manhattan,-73.98983608299997,40.76224880249993
49,49,0.07529001834,0.00020318553,Clinton Hill,49,Brooklyn,-73.96170670799992,40.688764614999855
50,50,0.05574798675,0.00017324928,Clinton West,50,Manhattan,-73.99591012309416,40.766568455471045
51,51,0.09536134423,0.00039575655,Co-Op City,51,Bronx,-73.82951438949993,40.87343570699991
52,52,0.02890767101,4.520275e-05,Cobble Hill,52,Brooklyn,-73.99650552499989,40.68645906149993
53,53,0.16150091339,0.00094753098,College Point,53,Queens,-73.84718616016454,40.78198428688525
54,54,0.07621924486,0.00013245213,Columbia Street,54,Brooklyn,-74.00497260507314,40.68685015153732
55,55,0.14995680752,0.00073627471,Coney Island,55,Brooklyn,-73.98621165112738,40.577087293243274
56,56,0.05684781267,0.00018090784,Corona,56,Queens,-73.85770892099987,40.7415672414999
56,56,0.05684781267,0.00018090784,Corona,56,Queens,-73.85334967649996,40.75198053449988
57,57,0.01927050486,1.802598e-05,Corona,56,Queens,-73.85770892099987,40.7415672414999
57,57,0.01927050486,1.802598e-05,Corona,56,Queens,-73.85334967649996,40.75198053449988
58,58,0.05985540949,0.00020498093,Country Club,58,Bronx,-73.8189705241183,40.84149471389722
59,59,0.03779480709,6.287652e-05,Crotona Park,59,Bronx,-73.8939116864999,40.83893493049991
60,60,0.07864828782,0.00016183328,Crotona Park East,60,Bronx,-73.88497212849981,40.83133578699989
61,61,0.1173108081,0.00051077209,Crown Heights North,61,Brooklyn,-73.94241452649987,40.67396594649989
62,62,0.08225933598,0.00015823817,Crown Heights South,62,Brooklyn,-73.94563594699994,40.66727954149988
63,217,0.05539052513,0.00011473327,South Williamsburg,217,Brooklyn,-73.95772069499992,40.70323292049993
