station	zipcode	lat	long	population	avg_household_income	jan_entry	jan_exit	feb_entry	feb_exit	mar_entry	mar_exit	 apr_entry	apr_exit	 may_entry	may_exit	jun_entry	jun_exit	jul_entry	jul_exit	aug_entry	aug_exit	sep_entry	sep_exit	oct_entry	oct_exit	 nov_entry	nov_exit	dec_entry	dec_exit
72 st	10023	40.775594	-73.97641	62,435	72424	1513678653	1922620773	1513748523	1922514811	1513845591	1922399080	1513905875	1922243847	1513961135	1922126895	1514012556	1922011747	1514081968	1921898248	1514083866	1921806073	689958463	1759544754	689913525	1759589264	689864482	1759644665	689804964	1759686239
59 st columbus	10022	40.76266	-73.967258	31,125	80406	1397073584	1222568100	1397158608	1222582031	1397271469	1222599054	1397362897	1222615318	1397453728	1222630779	1397549028	1222650792	1397623962	1222665923	1397726894	1222683681	1397816985	1222699951	1397910151	1222718499	1398020047	1222741129	1398101386	1222758395
42 st	10036	40.757308	-73.989735	27,428	41002	2033276512	1830053571	2033322496	1830079985	2033384332	1830112593	2033434374	1830139860	2033484093	1830166813	2033544944	1830199412	2033593342	1830226153	2033655150	1830259182	2033703496	1830284815	2033756136	1830310767	2033817583	1830342284	2033864221	1830366246
w 4 st	10014	40.732338	-74.000495	30,738	66601	117243375	23856640	117243321	24059023	117243279	24322381	117243208	24539129	117243123	24764349	117243081	25037160	117243063	25242252	117243037	25508052	117243018	25734668	117242986	25969330	117242936	26241660	22236892	26449044
spring st	10012	40.726227	-74.003739	23,411	58313	341044575	85081864	341136998	85100273	341246204	85122883	341340218	85143352	341442622	85164253	341564947	85192118	341658313	85215030	341778433	85241927	341868421	85261466	341970407	85285012	342092398	85312343	342178519	85329448
high st	11201	40.699337	-73.990531	62,823	56293	1914617766	1905609193	1914679198	1905556200	1914750476	1905496774	1914764255	1905302034	1914788151	1905097048	1914839635	1904900599	1914847236	1904658750	1914892974	1904530592	1914900630	1904401356	1914928533	1904303160	1914971636	1904209674	1914977096	1904103630
lafayette av	11217	40.686113	-73.973946	41,407	49567	8467703	1847998	8494495	1849107	8534292	1849163	8563435	1849805	8597382	1849919	8635742	1850404	8659717	1850778	1962445407	318289680	1962418363	318288849	1962381579	318288114	1962342502	318287910	1962293646	318285133
franklin av	11216	40.680596	-73.955827	56,308	25135	305231414	2062478392	305294677	2062461980	305395572	2062444404	305486872	2062419990	305568194	2062401099	305667416	2062381174	305743920	2062356521	305840346	2062337094	305940588	2062314934	306042162	2062291826	306162472	2062270306	306250620	2062244249
nostrand av	11216	40.680438	-73.950426	56,308	25135	11993271	23739248	11994006	23807934	12386553	24023617	12426345	24128366	12457570	24218329	12478402	24311577	12483534	24364588	12500662	24457422	12503811	24521364	12511807	24586653	12529807	24677795	12529394	24727070
utica av	11213	40.679364	-73.930729	66,295	26366	101966117	16777216	102010813	16777216	102072172	16777216	102123802	16777216	102176890	16777216	102234373	16777216	102277170	16777216	102317725	16777216	102363411	16777216	102411954	16777216	102472547	16777216	102515745	16777216
ralph av	11233	40.678822	-73.920786	76,819	22754	4075149	4356865	4091247	4354934	4122533	4359278	4130347	4351565	4148243	4349628	4174419	4351898	4180750	4345932	4207962	4351218	4219544	4347747	4237384	4347871	4263511	4351045	4267399	4343013
rockaway av	11233	40.67834	-73.911946	76,819	22754	10363364	6248229	10390485	6258491	10426457	6273052	10454027	6284786	10463114	6296342	6374884	6310640	6393053	6321313	6409620	6328445	6116439	6084377	6149104	6116496	6189252	6149166	6218659	6189336
broadway jct	11207	40.679498	-73.904512	91,972	24163	16936092	20172614	16978241	20231086	17035881	20303193	17054638	20353335	17092164	20412376	17139999	20491790	17148919	20540732	17202094	20619862	17219989	20675974	17248597	20736606	17288423	20808618	17298366	20854241
liberty av	11207	40.674542	-73.896548	91,972	24163	5375905	2074926	5395900	2069011	5427619	2064624	5443257	2053238	5466523	2048336	5493909	2042973	5508607	2032069	5537163	2026629	5558959	2016771	5580333	2008028	5610094	2001545	5624308	1988840
shepherd av	11208	40.67413	-73.88075	98,660	27078	7456772	9024931	7468513	9037668	7490181	9056911	7811029	9212427	7825896	9228442	7843844	9244042	7849242	9253978	7865211	9272097	7872007	9285072	7881150	9298610	7897490	9318228	7899763	9328330
euclid av	11208	40.675377	-73.872106	98,660	27078	8838400	5340454	8870149	5353243	8915851	5369913	8945321	5379841	8240127	4517173	8295488	4538766	8343401	4555338	8398095	4576294	8444368	4593453	8492988	4613968	8555349	4636466	8601961	4656633
grant av	11208	40.677044	-73.86505	98,660	27078	1207042809	1761194168	1207045937	1761213294	1207063095	1761242457	1207060751	1761254112	1207051046	1761270713	1207062540	1761304142	1207078440	1761313482	1207090563	1761344706	1207086004	1761359677	1207089004	1761376590	1207098048	1761409611	1207092336	1761414097
80 st	11416	40.679371	-73.858992	27,125	61285	117178599	117440732	117178603	117440740	117178618	117440744	117178622	117440759	117178624	117440763	117178628	117440765	117178640	117440769	117178651	117440781	117178657	117440792	117178660	117440798	117178665	117440801	117178668	117440806
88 st	11416	40.679843	-73.85147	27,125	61285	5452320	7879184	5465996	7894397	5486701	7914414	5494969	7927130	5506583	7940435	5528453	7959563	5534965	7970383	5556614	7988356	5568105	8001826	5579300	8015127	6625706	8345455	4498157	1342827
rockaway blvd	11417	40.680429	-73.843853	31,927	69989	135422466	8457546	135450619	8490335	135487399	8525360	135516009	8570953	135542916	8607331	135578205	8648237	135602870	8694694	135634755	8728278	135662883	8772581	135690444	8810151	135724894	8844826	135749018	8888215
broad channel	11693	40.608382	-73.815925	12,919	57443	972351	84798	974296	85026	977067	85290	977822	85497	979543	85720	982729	86162	984271	86635	987607	87105	989094	87359	990602	87593	993020	87891	993525	88100
beach 90 st	11692	40.588034	-73.813641	20,991	45816	3157201	3682257	3165267	3690380	3175818	3701258	3184452	3710125	3193073	3719760	3209320	3734683	3225578	3749261	3244567	3766022	3264313	3781658	3273539	3791054	3287196	3803408	3295238	3811517
beach 98 st	11693	40.585307	-73.820558	12,919	57443	1838009	2054944	1841313	2060276	1846214	2067721	1850165	2073340	1854097	2079616	1861253	2089082	1868309	2098107	1876082	2109094	1880772	2116309	1884678	2122334	1889103	2129652	1892644	2135009
beach 105 st	11694	40.583209	-73.827559	21,354	77547	117438847	1031882	117438847	1034817	117438847	1038984	117438844	1042250	117438844	1045759	117438840	1051846	117438839	1057707	117438839	1064467	117438839	1069060	117438839	1072701	117438839	1076922	117438839	1080022
beach 67 st	11692	40.590927	-73.796924	20,991	45816	5214644	4187762	5230213	4206279	5251844	4230140	5270019	4249954	5286536	4269866	5312316	4299450	5333839	4326900	5360096	4359507	5377332	4379917	5396037	4400840	5417620	4425323	5432840	4443984
beach 60 st	11692	40.592374	-73.788522	20,991	45816	117440773	5346731	117440788	5357751	117440800	5372033	117440800	5383652	117440808	5395416	117440815	5410570	117440826	5423114	117440835	5438592	117440841	5449454	117440847	5461796	117440851	5476388	117440856	5487769
beach 44 st	11692	40.592943	-73.776013	20,991	45816	1195965	1355226	1203807	1360959	1214244	1368434	1222709	1374422	1230348	1380298	1241682	1388168	1250527	1394700	1261925	1402890	1270077	1408834	1279134	1415307	1289544	1422860	1297087	1428497
beach 36 st	11691	40.595398	-73.768175	67,094	39947	2171811	1845018	2179811	1845021	2190818	1845021	2200072	1845021	2208378	1845022	2219620	1845022	2228453	1845022	2240064	1845022	2248113	1845022	2254103	1845022	1354574	1845024	1354574	1845025
beach 25 st	11691	40.600066	-73.761353	67,094	39947	3979928	4155255	3991585	3970019	644500018	968192765	644512010	968205640	644523339	968218681	644538398	968234655	644549387	968246286	644563624	968260982	644574741	968273719	644586482	968286900	644600647	968303111	644611609	968315233
170 st	10452	40.839306	-73.9134	76,078	20606	934214617	1150156892	934214612	1150156895	934214602	1150156898	934214599	1150156899	934214594	1150156903	934214588	1150156907	934214579	1150156907	934214577	1150156908	934214575	1150156911	934214573	1150156911	934214569	1150156911	934214801	1150156911
174	10453	40.8459	-73.910136	79,606	21109	4317514	2075555	4327729	2086163	4341139	2102182	4347758	2113106	4354475	2124494	4412335	2160284	4425199	2173042	4440881	2187344	4452507	2196658	4465351	2206454	4482468	2219442	4491848	2225102
tremont av	10453	40.85041	-73.905227	79,606	21109	218646754	167840354	218649356	167841258	218656537	167844250	218806981	167958511	218826049	167972029	218833280	167977109	218826869	167973924	218833393	167981046	218828614	167981505	218831046	167982072	218839249	167984664	218837774	167979684
182	10457	40.856093	-73.900741	74,554	19233	1475179750	1845234124	1475109668	1845234099	1475035269	1845236856	1474938542	1845233180	1474862711	1845232212	1474789004	1845234315	1474697972	1845230987	1474630292	1845235129	1474546196	1845230266	1474471100	1845232695	1474392162	1845238055	1474294827	1845231797
fordham rd	10468	40.861296	-73.897749	78,647	26852	1108030556	167906494	1108099364	167917093	1108189445	167933273	1108258602	167944748	1108328565	167955725	1108411956	167969400	1108422349	167971300	18570968	9380102	33626271	9397976	33699138	9414978	33791588	4443900	1761685585	385886713
kingsbridge rd	10468	40.866978	-73.893509	78,647	26852	704822666	704840159	704847448	704861118	704879349	704887477	704906190	704911138	704933805	704934767	704965933	704964379	704989879	704988640	705019767	705021028	705045549	705044479	705074823	705072031	705108476	705102345	705134031	705123266
5 av/53 st	10022	40.760167	-73.975224	31,125	80406	13782731	29876162	13784477	29955650	13817495	30069338	13847008	30182888	13881894	30285848	13927413	30413992	13947554	30504900	13989241	30629819	14015880	30735453	14047700	30840213	14093135	30966612	14125507	31079056
lexington av/53	10022	40.757552	-73.969055	31,125	80406	1476630171	1595584661	1476646053	1595614145	1476666671	1595652396	1476682724	1595679871	1476699124	1595708658	1476720843	1595744529	1476738607	1595772633	1476762151	1595809826	1476780938	1595844568	1476800484	1595882043	1476823652	1595923154	1476841785	1595954857
court sq	11101	40.747846	-73.946	30,043	57866	2067142115	681640463	2067111111	681624224	2067075928	681606375	2067031485	681584487	2066991494	681566423	2066955738	681548208	2066913744	681526325	2066882742	681508900	2066844476	681487175	2066812007	681467982	2066779651	681448630	2066741485	681427266
queens plaza	11101	40.748973	-73.937243	30,043	57866	51161307	17136068	51187483	17146033	51224343	17159863	51253537	17171211	51285885	17183184	51321523	17196690	51347594	17206898	51377439	17218552	51413149	17231464	51450152	17244030	51495951	17259441	51523487	17270398
steinway st	11103	40.756879	-73.92074	36,140	65229	15026453	13198952	15051100	13229266	15095631	13279521	15117319	13310656	15141844	13341184	15178763	13382130	15196709	13408768	15230471	13454676	15251289	13482083	15282177	13517441	15314771	13557066	15327711	13584912
46 st	11103	40.756312	-73.913333	36,140	65229	13009219	6868450	14492085	6951221	5962392	7003339	5961421	7037682	5994698	7083627	6008213	7123718	6014636	7152696	6024460	7197526	6055403	7255089	6063093	7293532	6053710	7332941	6055104	7360222
northern blvd	11377	40.752885	-73.906006	86,421	54989	6749503	7218505	6781442	7263676	6823567	7326706	6856556	7374542	6889100	7422217	6925693	7476851	6953936	7519881	6989445	7576279	7018795	7623456	7051535	7670700	7090776	7726563	7121861	7769786
65 st	11377	40.749669	-73.898453	86,421	54989	4647820	7386535	6162313	9009116	3172737	9040293	3177098	9048071	3189087	9059976	3205142	9076462	3209673	9084659	3226739	9103887	3231874	9112419	3244824	9127075	3262481	9142396	3267740	9150006
elmhurst av	11373	40.742454	-73.882017	93,967	49098	1625567955	1973029107	1625502288	1973026245	1625448220	1973025483	1625376795	1973020676	1625366259	1973052701	1625309638	1973054123	1625241106	1973049831	1625203538	1973065961	1625144728	1973067847	1625093368	1973070111	1625038163	1973073143	1624976529	1973074892
67 av	11374	40.726523	-73.852719	42,653	56863	10792485	10753497	10832882	10792514	10888856	10832904	10931441	10888926	10974116	10931511	11024956	10974198	11061427	11025022	11108192	11061513	11150176	11108251	11191543	11150255	11243951	11192976	11284462	11243980
75 av	11375	40.718331	-73.837324	73,488	76467	297361956	942452175	297369477	942439810	297378819	942427689	297385885	942410921	297393660	942397525	297402663	942382838	297409701	942365026	297417664	942350938	297424909	942333971	297431995	942319345	297441498	942306331	297448375	942292519
sutphin blvd	11435	40.70546	-73.810708	59,296	59535	84168079	3763527	84182017	3777789	84200578	3797168	84214778	3811235	84229600	3825807	84246449	3847082	84259109	3862182	84274383	3879733	84287643	3895701	84302755	3911759	84321706	3934664	84337895	3950799
parsons blvd	11435	40.707564	-73.803326	59,296	59535	9726516	12006994	9759806	12083859	9805161	12185032	9840304	12262961	9877717	12340906	9920770	12445777	9951328	12523389	9989719	12613231	10026226	2709755	10061661	2720723	10106258	2735226	10140257	2745828
169 st	11432	40.71047	-73.793604	62,053	52975	7141479	5206552	7154094	5241324	7172081	5287337	7181801	5322601	7193464	5360271	7209195	5404287	7217419	5436546	7233827	5477464	7244125	5513546	7256618	5549377	7273797	5594839	7282568	5628568
21 st	11101	40.744065	-73.949724	30,043	57866	15038379	10468491	15122288	10521198	14881370	10108103	15333974	10654450	15433639	10715598	15557786	10788695	15640965	10842829	15759237	10915812	15855106	10973546	15960254	11043068	16090790	11125967	16188757	11189826
greenpoint av	11222	40.731352	-73.954449	36,492	33578	5527261	6050862	5556502	6120900	5593930	6207148	5618313	6266303	5648927	6343464	5686904	6440683	5714033	6510633	5751261	6599635	5783909	6672887	5815798	6743468	5854091	6833098	5887867	6913775
nassau av	11222	40.724635	-73.951277	36,492	33578	8185455	6000268	8214280	6019301	8243613	6036546	8256007	6046891	8273054	6065059	8298263	6085989	8315789	6099972	8342524	6119893	8407220	6162099	8434321	6181725	67122963	6206348	8487671	6220610
broadway	11106	40.76182	-73.925508	38,363	60725	37495208	11393870	37508356	11463560	37457144	11526865	37377963	11577496	37318802	11653839	37253111	11740033	37169309	11796833	37118053	11872704	37038140	11948452	36967228	12016188	36964396	12120390	36958733	12194237
classon av	11205	40.688873	-73.96007	46,064	28070	6807099	5580811	6820975	5578446	9895819	8766735	9934059	8793995	9961754	8804930	9997563	8819544	10008364	8812026	10041988	8828248	10061486	8828083	10085317	8832235	10123433	8847490	36274762	8926381
47	10019	40.758663	-73.981329	43,703	55869	1924276074	2037564481	1924344573	2037621349	1924434991	2037696750	1924505659	2037752780	1924578854	2037851502	1924672139	2037918058	1924740019	2037940554	1924833892	2038017283	1924909500	2038078398	1925037284	2038186968	1925124536	2038261109	1925203490	2038329876
2 av	10012	40.723402	-73.989938	23,411	58313	67089914	25445452	67095822	25538199	67104272	25660934	67108650	25747108	67115100	25844628	67119258	25961993	67121889	26051581	67126656	26164274	67129739	26256314	67132858	26352454	67137219	26470249	67140425	26565502
east broadway	10002	40.713715	-73.990173	74,993	24022	101140196	17363863	101152175	17374780	101162072	17386841	101168730	17394806	101176210	17404851	101185303	17417409	101192555	17429174	101200268	17441188	101207342	17450921	101213927	17460553	101222342	17475995	101228819	17484579
york st	11201	40.701397	-73.986751	62,823	56293	3650751	23567029	3687489	23658794	3751075	23781011	3763085	23873933	3806328	23982930	3870238	24128664	3872425	24244314	3939252	24397973	3955510	24515735	3984209	24632722	4036431	24768939	4045091	24871364
bergen st	11201	40.686145	-73.990862	62,823	56293	10994062	7235407	11033477	7278869	11081140	7334809	11117686	7374022	11156675	7418834	11204459	7473839	11239418	7515409	11282769	7567407	11321088	7611679	11360044	7656385	11407587	7711833	11443608	7754773
carroll st	11231	40.680303	-73.995048	37,845	45154	16044410	19373965	16577727	19440360	16656903	19524492	150978228	19586930	151025927	19657895	151094065	19745512	151136822	19808398	151188962	19888630	151201992	19959358	151201143	20031038	151203082	20119236	151188213	20183708
4 av	11215	40.670272	-73.989779	70,156	53313	11296158	14468219	11308544	14499799	11328723	14544149	11336251	14563508	11349103	14599235	11365902	14638062	11373781	14654789	11392576	14697343	11405649	14723225	11420082	14752247	11440703	14797542	11449116	14814532
ditmas av	11218	40.636119	-73.978172	74,508	36432	67416833	4795569	67427074	4819143	67434404	4847044	67445864	4871051	67458577	4898444	67472612	4932173	67483970	4958302	67498747	4991490	67512904	5020477	67527041	5047260	67545530	5080533	67559390	5105601
avenue i	11204	40.625322	-73.976127	76,978	31798	3314888	995588304	3325799	995582133	3341806	995576628	3353547	995569845	3368407	995563519	3384983	995556531	3393998	995548620	3408204	995542817	3421965	995535444	3433350	995528398	3452589	995521646	3464804	995511304
avenue n	11204	40.61514	-73.974197	76,978	31798	134217910	134217908	134217916	134217910	134217918	134217916	134217920	134217918	1178882151	134217920	1178911085	134217923	1178932274	134217923	1178959403	134217923	1178984272	134217925	1179007727	134217930	1179040907	134217930	1179066219	134217930
avenue p	11223	40.608944	-73.973022	81,789	32104	7987029	8139207	7994781	8153642	8008703	8167600	8015126	8184783	8026654	8199768	8042156	8216961	8047476	8239253	8064623	8255869	8072350	8277119	8080377	8295571	8098519	8312941	8103503	8334734
avenue x	11223	40.58962	-73.97425	81,789	32104	2572379	6462794	2575625	6475960	2581077	6492693	2581299	6503740	2601419	6520842	2638397	6543084	2661797	6556002	2698122	6576025	2724725	6591088	5846357	8066783	5884515	8088864	5903574	8101087
neptune av	11224	40.581011	-73.974574	46,707	21281	3961313	777453	3977267	780373	3998326	784790	4011244	787552	4030171	791691	4054310	796712	4069144	798955	4091374	803578	4109959	807169	4128621	810629	4153783	816475	4170669	819242
lexington av/63	10022	40.764629	-73.966113	31,125	80406	1758747799	45231190	1758711839	45169647	1758668097	45092263	1758609713	44990941	1758565690	44912032	1758518073	44831210	1758462575	44736158	1758420473	44669198	1758365633	44582140	1758316389	44498072	1758266293	44411998	1758207376	44305153
thirty third st	10016	40.746081	-73.982076	51,057	66342	2991116	2063334	3034551	2091294	3094464	2127903	3138721	2156067	3180714	2194996	3210019	2221733	101875	82556	171658	145679	225196	198940	281358	257687	337991	321715	391189	357280
south ferry	10005	40.702068	-74.013664	8,831	79517	11173573	8203540	11184778	8212671	11220604	8225393	117482019	8237956	117504791	8250556	117533594	8267174	117556805	8281568	117582462	8297354	117603810	50331650	123806447	8323054	123833834	8337763	123852881	8348374
wall st	10005	40.706821	-74.0091	8,831	79517	168540581	235389624	168552670	235395040	168567546	235403405	168579609	235410525	168591826	235417284	168607457	235426836	168619299	235435484	168634818	235443898	168647354	235450898	168660893	235459107	168677212	235469659	168690965	235477747
franklin st	10013	40.719318	-74.006886	28,709	38304	10463224	9368209	1133281489	704643555	10514884	9850506	10552456	9891475	10593597	9927965	10614492	9960363	10610846	9970079	10644250	9967174	10681183	9992334	10721962	10020858	10775177	10050643	10809121	10087297
houston st	10014	40.728251	-74.005367	30,738	66601	68341184	17030678	68377867	17039733	68416915	17051449	68456566	17061272	68461853	17065808	11238222	16332270	11267991	16383140	11307978	16441784	11344597	16492111	11390353	16543191	11445479	16605421	11484798	16651283
18 st	10011	40.74104	-73.997871	50,472	61986	201334192	738591394	201491286	738844274	14995536	4420068	15030298	4421274	15068028	4445502	15117297	4488727	15142837	4539167	15183355	4576537	102325645	4620155	102312765	4661770	102299551	4702786	102280277	4754949
157 st	10032	40.834041	-73.94489	64,264	26237	21169311	8533308	21246337	8603657	21349160	8693979	21415730	8758174	21484260	8821832	21568364	8887225	21621327	8938449	21701993	9006537	22553928	9464257	6952010	9531581	6937419	9615534	7121027	9700671
191 st	10040	40.855225	-73.929412	44,571	27905	9168164	11525709	9163316	11543064	9168974	11577724	9141989	11578611	9137042	11595556	9140606	11618794	9123289	11621000	9789136	12196460	2961749	5496219	2979049	5521273	3010570	5564775	3012438	5562995
207 st	10034	40.864621	-73.918822	42,910	29479	135022768	9557738	135029375	9588893	135037695	9621143	135041878	9661036	135116091	9788501	135133294	9829272	135141222	9866522	135156528	9896805	135165251	9938120	135201055	10007555	135219021	10052022	135222460	10095530
215 st	10034	40.869444	-73.915279	42,910	29479	4007916	169494098	4009102	169493639	4013698	169499868	4010868	169502849	4011184	169506465	4012726	169510971	4008493	169512545	4012504	169518170	4012351	169522466	4016148	169529390	4018243	169536653	4333099	169624138
231 st	10463	40.878856	-73.904834	71,360	40497	15324631	7748825	15374718	7809085	15438193	7870273	15486979	7947512	15536120	8006637	15590937	8062806	15632148	8130166	15685270	8182572	15732894	8251310	15782134	8310173	15845527	8372170	15894457	8448214
238 st	10463	40.884667	-73.90087	71,360	40497	8231769	6136717	8264669	6152108	8309402	6175408	8348137	6206834	8387719	6230350	8433212	6254446	8469053	6282257	8517905	6303942	8559924	6332274	8601640	6357104	8653810	6386517	8692054	6421569
bowling green	10006	40.704817	-74.014065	3,454	81334	1289816752	1342998042	1289816824	1343007455	1289816928	1343027187	1289817024	1343050632	1289817135	1343069824	1289817271	1343096492	1289817352	1343120161	1289817449	1343150187	1289817545	1343171924	1289715207	1343192695	1289696891	1343210269	1289675156	1343223288
brooklyn bridge	10038	40.713065	-74.004131	22,800	31316	388480290	564041141	388517234	564055040	388571592	564074632	388621477	564091503	388669554	564109037	388720521	564131516	388766997	564149146	388826860	564170560	388877594	564190085	388923720	564207193	388973431	564228139	389012992	564242525
bleecker st	10012	40.725915	-73.994659	23,411	58313	12025170	6810484	12224150	6993016	12297288	7035095	12329235	7066343	12364879	7089247	12415464	7128270	12436284	7158734	12627413	7213613	12688885	7247858	12738106	7282496	12819564	7327252	12835655	7357360
astor pl	10003	40.730054	-73.99107	54,682	60891	16819982	10382981	16854709	10447815	16908772	10562202	17012436	10799043	17067167	10914077	17128488	11056456	17127294	11145934	17147926	11271181	17159783	11373018	17297934	11531011	5480656	11656272	5481205	11745652
grd cntrl	10017	40.751776	-73.976848	15,801	69273	1255208412	723007939	1255174603	723026402	1255138944	723048157	1255090419	1510932083	1255051066	1510777020	1255013399	1510566413	1254966589	1510294797	1254932627	1510105917	1254890743	1509863007	1254855243	1509668462	1254813209	1509538942	1254769912	1509398968
51 st	10022	40.757107	-73.97192	31,125	80406	13060304	24171337	13082208	24233076	13119259	24324551	13140009	24395951	30820566	30882428	30989453	30968108	31022295	30984227	31067388	31008891	569325935	569316303	569329684	569324040	569339767	569336748	569337395	569339466
110 st	10029	40.79502	-73.94425	79,597	22232	10427301	10973234	10425199	11019249	10456880	11084809	10443618	11122772	10442659	11167594	10465130	11223991	10448454	11258576	10459130	11321115	10434585	11364869	10424042	11411488	10423350	11477234	10395857	11518317
167 st	10452	40.833771	-73.91844	76,078	20606	1779770301	856329443	1779807082	856340798	1779836129	856354721	1779857542	856357679	1779883641	856366522	1828647850	1828767764	1828607934	1828800096	1828550417	1828837867	1828472231	1828876666	1828406185	1828905277	1828338705	1828940801	1828255368	1828998275
mt eden av	10453	40.844434	-73.914685	79,606	21109	4455611	4248301	4456919	4259338	4472101	4269897	4471873	4286013	4481572	4298687	4497670	4313195	4489281	4329192	4501660	4340942	4503731	4355224	4511975	4368949	5521182	5183188	5517000	5073305
176 st	10453	40.84848	-73.911794	79,606	21109	6262606	4390572	6265368	4409229	6283405	4437685	6272819	4452556	6272663	4467816	6276817	4490697	6263964	4504154	6271799	4528618	6264204	4544945	6262030	4562946	352393513	268507234	352409794	352387737
burnside av	10453	40.853453	-73.907684	79,606	21109	84438168	50351061	1690562	1635530	1723274	1660494	1908904	1850049	607172226	1008491678	607235888	1008523832	607272059	1008542150	607285199	1008538185	607299498	1008519495	607311971	1008520918	607342146	1008522618	607335871	1008514889
183 st	10453	40.858407	-73.903879	79,606	21109	1777535645	1863135340	1777539633	1863156194	1777551867	1863177944	1777549627	1863194734	1777554875	1863216827	1777566436	1863246410	1777562658	1863259706	1777576425	1863286347	1777580229	1863305174	1777585539	1863324064	1777599353	1863352765	1777595677	1863363653
mosholu pkwy	10467	40.87975	-73.884655	103,732	29044	5816119	5395284	5819015	5400192	5827271	5409257	5823244	5412284	5826057	5418068	452902111	67101756	452887449	67095678	452879631	67091870	452865769	67086717	452855411	67081501	452841138	67076135	16530816	16657814
woodlawn	10467	40.886037	-73.878751	103,732	29044	7917809	7949869	7945195	7989190	7985685	8030994	8008718	8086001	8041832	8131333	8084148	8178232	8103495	8235284	8143017	8276929	8167764	8331406	8193836	8377376	8222894	8422542	8221582	8468473
jackson av	10455	40.81649	-73.907807	42,283	19389	117837075	582667	117810786	580505	117788578	579270	117749086	575034	117726695	573326	117700677	571637	117659557	568051	117636450	567606	117608566	566483	117583954	566155	1761104224	150925078	1761083861	150921622
intervale av	10459	40.822181	-73.896736	48,351	17498	8047784	6824754	8062244	6860961	8089021	6911805	8096530	6943458	8109956	6980337	8129522	7027263	8137321	7051159	8160633	7090108	8176876	7123666	8196852	7158779	8224106	7206641	8230712	7234429
simpson st	10459	40.824073	-73.893064	48,351	17498	268493554	285264155	671056196	503360152	671017596	503368127	670940911	503375211	670887670	503382122	670822328	503390843	670747481	503395162	117438295	18783062	117438268	18789354	285275821	301999040	285284852	302009265	285291660	302016970
freeman st	10459	40.829993	-73.891865	48,351	17498	169174168	16818014	169192654	16817084	169220515	16817400	169233250	16815574	169250633	16815246	169276405	16815536	169287028	16813865	169305782	16813573	169318506	16811659	169334962	16811395	169359141	16810943	169370888	16808762
174 st	10460	40.837288	-73.887734	59,505	19517	687745573	298939881	687708637	298910385	688799469	301349471	688724805	301315149	688639089	301278514	688543553	301237353	688431176	301187255	688347407	301144907	688243742	301100218	688156605	301064372	688060565	301024215	687946609	300977312
e 180 st	10460	40.841894	-73.873488	59,505	19517	13042141	11217035	13083991	11249249	13138034	11293330	13181794	11331283	13228075	11369787	13283854	11416901	13328975	11456356	13381746	11498621	13428252	11541623	13472941	11578282	13528299	11622747	13569769	11657825
bronx park east	10462	40.848828	-73.868457	76,756	33735	989902803	436271618	989897460	436274464	989898030	436279875	989885358	436281827	989875400	436285280	989869356	436290610	989852185	436291752	989849896	436296234	989842976	436299058	989836332	436302282	989830940	436306735	989814214	436308467
pelham pkwy	10462	40.857192	-73.867615	76,756	33735	436317362	184612614	436345731	184623548	436383927	184640314	436413912	184653769	436446497	184668148	436482561	184683715	436507332	184694500	436538223	184708259	436567270	184721176	436598796	184734385	436637805	184750794	436666041	184763099
allerton av	10467	40.865462	-73.867352	103,732	29044	585043026	217448347	585018104	217439509	16816370	7643305	16782469	7684673	16763038	7718848	16754222	7748758	16728191	7785628	16722952	7813114	16706518	7846799	16686552	7875997	2044058270	905145690	2046753649	2046753753
burke av	10467	40.871356	-73.867164	103,732	29044	4839191	2353965	4849177	2359497	4866834	2368997	4871057	2373026	4881498	2378771	4897349	2387072	4900686	2390488	4917289	2398977	4924822	2403374	4934498	2409537	4950264	2418702	4953788	2422628
gun hill rd	10467	40.87785	-73.866256	103,732	29044	1325630059	1057251227	1325664512	1057288935	1325712581	1057341577	1325740490	1057387023	1325777110	1057432345	1325828619	1057493957	1325861415	1057533595	1325898222	1057579985	1325938003	1057642896	1325950286	1057661722	683734655	638320589	1359532103	1074416054
219 st	10467	40.883895	-73.862633	103,732	29044	2929890	3505306	2935510	3509445	2948551	3518712	2947757	3519239	902710819	317590434	902722228	904383439	902728622	904404920	902751324	904426767	902756317	904451177	902767865	904468928	902787009	904487902	902791065	904512816
225 st	10470	40.888022	-73.860341	15,432	38464	1953153490	663940172	1953149423	663906745	1953153323	663872491	1953138701	663825898	1953131938	663790470	1953130789	663754615	1953117100	663710827	1953117873	663677333	1953105811	663635238	1953101083	663603743	1953105247	663570587	1953090902	663524763
nereid av	10470	40.898379	-73.854376	15,432	38464	7135691	7682284	7146746	7706583	7169174	7731668	7174312	7765479	7185221	7791896	7203248	7816678	7208463	7847208	7228093	7871105	7234091	7901822	7245901	7925027	7265778	7949079	7268528	7980027
brook av	10454	40.807566	-73.91924	38,203	14271	8045674	11514241	8076174	11537359	8117713	11577999	8204853	11744757	8236686	9441839	8276917	9477984	8290575	9450505	8322293	9448981	8342139	9419226	8366597	9409350	8396387	9405716	8416990	9375580
cypress av	10454	40.805368	-73.914042	38,203	14271	3869773	3504660	3883614	3514146	3902500	3527501	2013309375	838921472	2013318340	838934131	2013326335	838942557	2013329951	838942521	2013337433	838951346	2013355772	839005509	184636864	251755883	184633108	251746564	184625872	251731266
