location	entries	exits	latitude	longitude
beach 44 st	1297087	1428497	40.592943	-73.776013
beach 36 st	1354574	1845025	40.595398	-73.768175
beach 25 st	644611609	968315233	40.600066	-73.761353
167 st	1828255368	1828998275	40.833771	-73.91844
170 st	934214801	1150156911	40.839306	-73.9134
174	4491848	2225102	40.8459	-73.910136
tremont av	218837774	167979684	40.85041	-73.905227
182	1474294827	1845231797	40.856093	-73.900741
fordham rd	1761685585	385886713	40.861296	-73.897749
kingsbridge rd	705134031	705123266	40.866978	-73.893509
5 av/53 st	14125507	31079056	40.760167	-73.975224
lexington av/53	1476841785	1595954857	40.757552	-73.969055
court sq	2066741485	681427266	40.747846	-73.946
queens plaza	51523487	17270398	40.748973	-73.937243
steinway st	15327711	13584912	40.756879	-73.92074
46 st	6055104	7360222	40.756312	-73.913333
northern blvd	7121861	7769786	40.752885	-73.906006
65 st	3267740	9150006	40.749669	-73.898453
elmhurst av	1624976529	1973074892	40.742454	-73.882017
67 av	11284462	11243980	40.726523	-73.852719
75 av	297448375	942292519	40.718331	-73.837324
sutphin blvd	84337895	3950799	40.70546	-73.810708
parsons blvd	10140257	2745828	40.707564	-73.803326
169 st	7282568	5628568	40.71047	-73.793604
21 st	16188757	11189826	40.744065	-73.949724
greenpoint av	5887867	6913775	40.731352	-73.954449
nassau av	8487671	6220610	40.724635	-73.951277
broadway	36958733	12194237	40.76182	-73.925508
classon av	36274762	8926381	40.688873	-73.96007
47	1925203490	2038329876	40.758663	-73.981329
2 av	67140425	26565502	40.723402	-73.989938
east broadway	101228819	17484579	40.713715	-73.990173
york st	4045091	24871364	40.701397	-73.986751
bergen st	11443608	7754773	40.686145	-73.990862
carroll st	151188213	20183708	40.680303	-73.995048
4 av	11449116	14814532	40.670272	-73.989779
ditmas av	67559390	5105601	40.636119	-73.978172
avenue i	3464804	995511304	40.625322	-73.976127
avenue n	1179066219	134217930	40.61514	-73.974197
avenue p	8103503	8334734	40.608944	-73.973022
avenue x	5903574	8101087	40.58962	-73.97425
neptune av	4170669	819242	40.581011	-73.974574
lexington av/63	1758207376	44305153	40.764629	-73.966113
thirty third st	391189	357280	40.746081	-73.982076
south ferry	123852881	8348374	40.702068	-74.013664
wall st	168690965	235477747	40.706821	-74.0091
franklin st	10809121	10087297	40.719318	-74.006886
houston st	11484798	16651283	40.728251	-74.005367
18 st	102280277	4754949	40.74104	-73.997871
157 st	7121027	9700671	40.834041	-73.94489
191 st	3012438	5562995	40.855225	-73.929412
207 st	135222460	10095530	40.864621	-73.918822
215 st	4333099	169624138	40.869444	-73.915279
231 st	15894457	8448214	40.878856	-73.904834
238 st	8692054	6421569	40.884667	-73.90087
bowling green	1289675156	1343223288	40.704817	-74.014065
brooklyn bridge	389012992	564242525	40.713065	-74.004131
bleecker st	12835655	7357360	40.725915	-73.994659
astor pl	5481205	11745652	40.730054	-73.99107
grd cntrl	1254769912	1509398968	40.751776	-73.976848
51 st	569337395	569339466	40.757107	-73.97192
110 st	10395857	11518317	40.79502	-73.94425
mt eden av	5517000	5073305	40.844434	-73.914685
176 st	352409794	352387737	40.84848	-73.911794
burnside av	607335871	1008514889	40.853453	-73.907684
183 st	1777595677	1863363653	40.858407	-73.903879
mosholu pkwy	16530816	16657814	40.87975	-73.884655
woodlawn	8221582	8468473	40.886037	-73.878751
jackson av	1761083861	150921622	40.81649	-73.907807
intervale av	8230712	7234429	40.822181	-73.896736
simpson st	285291660	302016970	40.824073	-73.893064
freeman st	169370888	16808762	40.829993	-73.891865
174 st	687946609	300977312	40.837288	-73.887734
e 180 st	13569769	11657825	40.841894	-73.873488
bronx park east	989814214	436308467	40.848828	-73.868457
pelham pkwy	436666041	184763099	40.857192	-73.867615
allerton av	2046753649	2046753753	40.865462	-73.867352
burke av	4953788	2422628	40.871356	-73.867164
gun hill rd	1359532103	1074416054	40.87785	-73.866256
219 st	902791065	904512816	40.883895	-73.862633
225 st	1953090902	663524763	40.888022	-73.860341
nereid av	7268528	7980027	40.898379	-73.854376
brook av	8416990	9375580	40.807566	-73.91924
cypress av	184625872	251731266	40.805368	-73.914042
e 149 st	5230940	6815690	40.812118	-73.904098
longwood av	4457385	5319450	40.816104	-73.896435
hunts point av	1123826854	1979968532	40.820948	-73.890549
whitlock av	4758521	3092277	40.826525	-73.886283
