location	entries	exits	latitude	longitude
57 st	18840846	7947347	40.763972	-73.97745
49 st	14840442	37382082	40.759901	-73.984139
times sq	1891778782	1428306232	40.754672	-73.986754
34 st	1569478089	2048474702	40.749567	-73.98795
28 st	1174471376	1392605422	40.745494	-73.988691
23 st	1999543295	1931657220	40.741303	-73.989344
14 st	2129289036	1510873051	40.740893	-74.00169
prince st	13848499	11948010	40.724329	-73.997702
canal st	1723932877	2031074051	40.719527	-74.001775
city hall	184965167	17193763	40.713282	-74.006978
cortlandt st	1058666250	871605709	40.710668	-74.011029
rector st	117715579	16843978	40.70722	-74.013342
bowery	2143773	2825854	40.72028	-73.993915
chambers st	2115868115	1799815802	40.713243	-74.003401
fulton st	1662315450	1762910767	40.710374	-74.007582
broad st	6367632	5585965	40.706476	-74.011056
7 av	12612713	14175594	40.67705	-73.972367
botanic garden	5273591	1868803	40.670343	-73.959245
prospect park	1568779011	1568726919	40.661614	-73.962246
parkside av	5073431	7974302	40.655292	-73.961495
church av	856111105	1577639020	40.650527	-73.962982
cortelyou rd	5668495	2518947	40.640927	-73.963891
newkirk plaza	17097607	16961193	40.635082	-73.962793
avenue h	117440645	706966	40.62927	-73.961639
avenue j	9326027	9307892	40.625039	-73.960803
avenue m	100662794	1534423	40.617618	-73.959399
kings hwy	755760530	763625284	40.60867	-73.957734
avenue u	134329536	16777283	40.5993	-73.955929
neck rd	100662774	16898897	40.595246	-73.955161
sheepshead bay	13127546	18444898	40.586896	-73.954155
brighton beach	15390882	13341505	40.577621	-73.961376
ocean pkwy	5898555	5897472	40.576312	-73.968501
borough hall	101122429	14675831	40.693219	-73.989998
dekalb av	1927214068	1141524090	40.690635	-73.981824
atl av	654312735	134263112	40.683666	-73.97881
union st	10766125	12587378	40.677316	-73.98311
prospect av	12879835	12883832	40.665414	-73.992872
25 st	10492333	7612957	40.660397	-73.998091
36 st	100745840	7220867	40.655144	-74.003549
45 st	3635799	7202069	40.648939	-74.010006
53 st	100781727	134010874	40.645069	-74.014034
bay ridge av	7990614	4792819	40.634967	-74.023377
77 st	140492001	24683232	40.629742	-74.02551
86 st	972624585	1876080761	40.622687	-74.028398
8 av	57016715	19884082	40.635064	-74.011719
new utrecht av	2521336	2711287	40.624842	-73.996353
18 av	1946558875	1358548772	40.607954	-74.001736
20 av	7737247	7223915	40.604556	-73.998168
bay pkwy	775336401	1698389917	40.601875	-73.993728
9 av	11150345	11026530	40.646292	-73.994324
50 st	335200991	335164737	40.63626	-73.994791
55 st	4758501	5065043	40.631435	-73.995476
71 st	8419884	8024398	40.619589	-73.998864
79 st	66895360	117170907	40.613501	-74.00061
25 av	2991834	3113802	40.597704	-73.986829
bay 50 st	6704247	7470701	40.588841	-73.983765
6 av	1209632511	1200566655	40.737335	-73.996786
3 av	1942800455	1476890881	40.732849	-73.986122
1 av	955210404	998764698	40.730953	-73.981628
bedford av	24620550	29947196	40.717304	-73.956872
lorimer st	8885969	1980946	40.703869	-73.947408
graham av	14203941	11281433	40.714565	-73.944053
grand st	238795293	1406926046	40.711926	-73.94067
montrose av	134759436	7272459	40.707739	-73.93985
morgan av	2530534	1034287	40.706152	-73.933147
jefferson st	8506345	7253471	40.706607	-73.922913
halsey st	73417171	34514297	40.68637	-73.916559
wilson av	7748972	6201114	40.688764	-73.904046
sutter av	8616239	8604921	40.669367	-73.901975
livonia av	6142125	3328989	40.664038	-73.900571
marcy av	117440961	8128018	40.708359	-73.957757
hewes st	8033104	7994538	40.70687	-73.953431
flushing av	16544110	16482944	40.70026	-73.941126
myrtle av	13343808	22113087	40.697207	-73.935657
kosciuszko st	7172961	3687596	40.693342	-73.928814
gates av	3322634	4133743	40.68963	-73.92227
chauncey st	5530337	2114160	40.682893	-73.910456
alabama av	5052056	6137546	40.676992	-73.898654
van siclen av	6573694	8372430	40.678024	-73.891688
cleveland st	593809	412118	40.679947	-73.884639
norwood av	4529837	6941827	40.68141	-73.880039
crescent st	10943149	7200273	40.683194	-73.873785
