location	entries	exits	latitude	longitude
beach 44 st	1230348	1380298	40.592943	-73.776013
beach 36 st	2208378	1845022	40.595398	-73.768175
beach 25 st	644523339	968218681	40.600066	-73.761353
167 st	1779883641	856366522	40.833771	-73.91844
170 st	934214594	1150156903	40.839306	-73.9134
174	4354475	2124494	40.8459	-73.910136
tremont av	218826049	167972029	40.85041	-73.905227
182	1474862711	1845232212	40.856093	-73.900741
fordham rd	1108328565	167955725	40.861296	-73.897749
kingsbridge rd	704933805	704934767	40.866978	-73.893509
5 av/53 st	13881894	30285848	40.760167	-73.975224
lexington av/53	1476699124	1595708658	40.757552	-73.969055
court sq	2066991494	681566423	40.747846	-73.946
queens plaza	51285885	17183184	40.748973	-73.937243
steinway st	15141844	13341184	40.756879	-73.92074
46 st	5994698	7083627	40.756312	-73.913333
northern blvd	6889100	7422217	40.752885	-73.906006
65 st	3189087	9059976	40.749669	-73.898453
elmhurst av	1625366259	1973052701	40.742454	-73.882017
67 av	10974116	10931511	40.726523	-73.852719
75 av	297393660	942397525	40.718331	-73.837324
sutphin blvd	84229600	3825807	40.70546	-73.810708
parsons blvd	9877717	12340906	40.707564	-73.803326
169 st	7193464	5360271	40.71047	-73.793604
21 st	15433639	10715598	40.744065	-73.949724
greenpoint av	5648927	6343464	40.731352	-73.954449
nassau av	8273054	6065059	40.724635	-73.951277
broadway	37318802	11653839	40.76182	-73.925508
classon av	9961754	8804930	40.688873	-73.96007
47	1924578854	2037851502	40.758663	-73.981329
2 av	67115100	25844628	40.723402	-73.989938
east broadway	101176210	17404851	40.713715	-73.990173
york st	3806328	23982930	40.701397	-73.986751
bergen st	11156675	7418834	40.686145	-73.990862
carroll st	151025927	19657895	40.680303	-73.995048
4 av	11349103	14599235	40.670272	-73.989779
ditmas av	67458577	4898444	40.636119	-73.978172
avenue i	3368407	995563519	40.625322	-73.976127
avenue n	1178882151	134217920	40.61514	-73.974197
avenue p	8026654	8199768	40.608944	-73.973022
avenue x	2601419	6520842	40.58962	-73.97425
neptune av	4030171	791691	40.581011	-73.974574
lexington av/63	1758565690	44912032	40.764629	-73.966113
thirty third st	3180714	2194996	40.746081	-73.982076
south ferry	117504791	8250556	40.702068	-74.013664
wall st	168591826	235417284	40.706821	-74.0091
franklin st	10593597	9927965	40.719318	-74.006886
houston st	68461853	17065808	40.728251	-74.005367
18 st	15068028	4445502	40.74104	-73.997871
157 st	21484260	8821832	40.834041	-73.94489
191 st	9137042	11595556	40.855225	-73.929412
207 st	135116091	9788501	40.864621	-73.918822
215 st	4011184	169506465	40.869444	-73.915279
231 st	15536120	8006637	40.878856	-73.904834
238 st	8387719	6230350	40.884667	-73.90087
bowling green	1289817135	1343069824	40.704817	-74.014065
brooklyn bridge	388669554	564109037	40.713065	-74.004131
bleecker st	12364879	7089247	40.725915	-73.994659
astor pl	17067167	10914077	40.730054	-73.99107
grd cntrl	1255051066	1510777020	40.751776	-73.976848
51 st	30820566	30882428	40.757107	-73.97192
110 st	10442659	11167594	40.79502	-73.94425
mt eden av	4481572	4298687	40.844434	-73.914685
176 st	6272663	4467816	40.84848	-73.911794
burnside av	607172226	1008491678	40.853453	-73.907684
183 st	1777554875	1863216827	40.858407	-73.903879
mosholu pkwy	5826057	5418068	40.87975	-73.884655
woodlawn	8041832	8131333	40.886037	-73.878751
jackson av	117726695	573326	40.81649	-73.907807
intervale av	8109956	6980337	40.822181	-73.896736
simpson st	670887670	503382122	40.824073	-73.893064
freeman st	169250633	16815246	40.829993	-73.891865
174 st	688639089	301278514	40.837288	-73.887734
e 180 st	13228075	11369787	40.841894	-73.873488
bronx park east	989875400	436285280	40.848828	-73.868457
pelham pkwy	436446497	184668148	40.857192	-73.867615
allerton av	16763038	7718848	40.865462	-73.867352
burke av	4881498	2378771	40.871356	-73.867164
gun hill rd	1325777110	1057432345	40.87785	-73.866256
219 st	902710819	317590434	40.883895	-73.862633
225 st	1953131938	663790470	40.888022	-73.860341
nereid av	7185221	7791896	40.898379	-73.854376
brook av	8236686	9441839	40.807566	-73.91924
cypress av	2013318340	838934131	40.805368	-73.914042
e 149 st	5230874	6651059	40.812118	-73.904098
longwood av	5022501	7674595	40.816104	-73.896435
hunts point av	318924845	117507424	40.820948	-73.890549
whitlock av	4617586	2980018	40.826525	-73.886283
elder av	5557790	8218124	40.828584	-73.879159
st lawrence av	6103232	5452541	40.831509	-73.867618
parkchester	167976615	268675701	40.833226	-73.860816
castle hill av	9240288	9861994	40.834255	-73.851222
zerega av	908524	407681	40.836488	-73.847036
middletown rd	4740300	5353130	40.843863	-73.836322
buhre av	3001584	2242483	40.84681	-73.832569
pelham bay park	150996683	9867063	40.852462	-73.828121
39 av	4459429	4419486	40.752882	-73.932755
36 av	16813310	17496667	40.756804	-73.929575
30 av	11465811	22169253	40.766779	-73.921479
52 st	101508396	10251348	40.744149	-73.912549
69 st	9106757	9156409	40.746325	-73.896403
junction blvd	13202768	33886071	40.749145	-73.869527
clark st	10390974	9639630	40.697466	-73.993086
hoyt st	5223126	3602634	40.690545	-73.985065
nevins st	5072915	11794243	40.688246	-73.980492
kingston av	4821186	6392353	40.669399	-73.942161
saratoga av	66220057	16491346	40.661453	-73.916327
junius st	5545887	5305166	40.663515	-73.902447
pennsylvania av	3389131	1066507	40.664635	-73.894895
new lots av	12303233	7919382	40.658733	-73.899232
president st	3268660	2315463	40.667883	-73.950683
sterling st	9506084	9641955	40.662742	-73.95085
winthrop st	16363072	6403584	40.656652	-73.9502
beverly rd	67191835	17083012	40.645098	-73.948959
newkirk av	17178321	13849271	40.639967	-73.948411
morris park	5102972	2520728	40.854364	-73.860495
baychester av	2062366511	167394708	40.878663	-73.838591
tompkinsville	608758	584975	40.636949	-74.074835
