location	entries	exits	latitude	longitude
57 st	1562698961	1293677603	40.763972	-73.97745
49 st	15006865	37871635	40.759901	-73.984139
times sq	1891557913	1428411021	40.754672	-73.986754
34 st	1569589423	2048736517	40.749567	-73.98795
28 st	1174473710	1392631043	40.745494	-73.988691
23 st	1999745527	1931737429	40.741303	-73.989344
14 st	2129120500	1510752795	40.740893	-74.00169
prince st	13957010	11948057	40.724329	-73.997702
canal st	1723579426	2031163990	40.719527	-74.001775
city hall	184946280	17121780	40.713282	-74.006978
cortlandt st	1058666078	871623765	40.710668	-74.011029
rector st	117732085	16839894	40.70722	-74.013342
bowery	2195957	2877968	40.72028	-73.993915
chambers st	2115942115	1799486361	40.713243	-74.003401
fulton st	1662387828	1762910759	40.710374	-74.007582
broad st	6474173	5696623	40.706476	-74.011056
7 av	12626964	14247809	40.67705	-73.972367
botanic garden	5397331	2029413	40.670343	-73.959245
prospect park	1568912021	1568871534	40.661614	-73.962246
parkside av	5143179	8084876	40.655292	-73.961495
church av	856166784	1577701119	40.650527	-73.962982
cortelyou rd	5632626	2478189	40.640927	-73.963891
newkirk plaza	17176646	17011068	40.635082	-73.962793
avenue h	117440648	758069	40.62927	-73.961639
avenue j	9367227	9353033	40.625039	-73.960803
avenue m	100662779	1585205	40.617618	-73.959399
kings hwy	755885653	763625277	40.60867	-73.957734
avenue u	1325341810	687888616	40.5993	-73.955929
neck rd	100662774	789484	40.595246	-73.955161
sheepshead bay	13261779	18621541	40.586896	-73.954155
brighton beach	15605532	13477545	40.577621	-73.961376
ocean pkwy	5898556	5897471	40.576312	-73.968501
borough hall	101148463	14768064	40.693219	-73.989998
dekalb av	2000045251	2000045254	40.690635	-73.981824
atl av	654312211	134263112	40.683666	-73.97881
union st	10872936	12703788	40.677316	-73.98311
prospect av	12896963	12956356	40.665414	-73.992872
25 st	10616473	7673529	40.660397	-73.998091
36 st	100784315	7464677	40.655144	-74.003549
45 st	3763427	7307791	40.648939	-74.010006
53 st	100866856	134013720	40.645069	-74.014034
bay ridge av	8069024	4967837	40.634967	-74.023377
77 st	140660553	24777393	40.629742	-74.02551
86 st	908734501	1876005321	40.622687	-74.028398
8 av	54529917	12977502	40.635064	-74.011719
new utrecht av	5534937	10720916	40.624842	-73.996353
18 av	1946616770	1358490132	40.607954	-74.001736
20 av	7761584	6685437	40.604556	-73.998168
bay pkwy	875479766	1698414922	40.601875	-73.993728
9 av	11267031	11046259	40.646292	-73.994324
50 st	335379204	335288030	40.63626	-73.994791
55 st	4778290	5111779	40.631435	-73.995476
71 st	8409763	8126018	40.619589	-73.998864
79 st	66867396	117188046	40.613501	-74.00061
25 av	3040342	3220095	40.597704	-73.986829
bay 50 st	6745357	7564345	40.588841	-73.983765
6 av	1209427683	1200554194	40.737335	-73.996786
3 av	881828097	1057121430	40.732849	-73.986122
1 av	955373399	998841690	40.730953	-73.981628
bedford av	24938842	30005920	40.717304	-73.956872
lorimer st	9034838	2016069	40.703869	-73.947408
graham av	14368202	11327650	40.714565	-73.944053
grand st	239051706	1406771063	40.711926	-73.94067
montrose av	134799073	7362967	40.707739	-73.93985
morgan av	2631824	1116146	40.706152	-73.933147
jefferson st	8689031	7560689	40.706607	-73.922913
halsey st	73425663	34536831	40.68637	-73.916559
wilson av	7890568	6285368	40.688764	-73.904046
sutter av	8617029	8593607	40.669367	-73.901975
livonia av	6543713	3542644	40.664038	-73.900571
marcy av	117440988	8297476	40.708359	-73.957757
hewes st	8116415	8083438	40.70687	-73.953431
flushing av	16724854	16686843	40.70026	-73.941126
myrtle av	13334535	22215845	40.697207	-73.935657
kosciuszko st	7210639	3788467	40.693342	-73.928814
gates av	3369802	4292309	40.68963	-73.92227
chauncey st	6003336	2265726	40.682893	-73.910456
alabama av	5105186	6207615	40.676992	-73.898654
van siclen av	6611664	8500224	40.678024	-73.891688
cleveland st	568504	468756	40.679947	-73.884639
norwood av	4533458	7017199	40.68141	-73.880039
crescent st	11019826	7162445	40.683194	-73.873785
cypress hills	4232490	2263056	40.689941	-73.87255
75 st	5717206	4217647	40.691324	-73.867139
woodhaven blvd	33554699	11693654	40.693879	-73.851576
104 st	2025575901	1907295258	40.695178	-73.84433
111 st	50331827	16776861	40.697418	-73.836345
121 st	1945704461	520178308	40.700492	-73.828294
central av	1913313	3202453	40.697857	-73.927397
fresh pond rd	14244850	5808561	40.706186	-73.895877
metropolitan av	17254164	16106170	40.712792	-73.951418
dyckman st	13093030	11384052	40.865491	-73.927271
190 st	1437789346	1843989584	40.859022	-73.93418
181 st	15963950	20448027	40.851695	-73.937969
175 st	218357050	285550489	40.847391	-73.939704
168 st	53293197	5241437	40.840719	-73.939561
155 st	7615539	6564156	40.830518	-73.941514
145 st	655191936	1444943749	40.824783	-73.944216
135 st	117440793	117440794	40.817894	-73.947649
125 st	1862464358	1409468759	40.811109	-73.952343
116 st	1159926059	235407519	40.805085	-73.954882
cathedral pkwy	67605700	134516425	40.803967	-73.966847
103 st	25531218	43961503	40.796092	-73.961454
96 st	645275745	20246393	40.791642	-73.964696
72 st	689958463	1759544754	40.775594	-73.97641
59 st columbus	1397816985	1222699951	40.76266	-73.967258
42 st	2033703496	1830284815	40.757308	-73.989735
w 4 st	117243018	25734668	40.732338	-74.000495
spring st	341868421	85261466	40.726227	-74.003739
high st	1914900630	1904401356	40.699337	-73.990531
lafayette av	1962418363	318288849	40.686113	-73.973946
franklin av	305940588	2062314934	40.680596	-73.955827
nostrand av	12503811	24521364	40.680438	-73.950426
utica av	102363411	16777216	40.679364	-73.930729
ralph av	4219544	4347747	40.678822	-73.920786
rockaway av	6116439	6084377	40.67834	-73.911946
broadway jct	17219989	20675974	40.679498	-73.904512
liberty av	5558959	2016771	40.674542	-73.896548
shepherd av	7872007	9285072	40.67413	-73.88075
euclid av	8444368	4593453	40.675377	-73.872106
grant av	1207086004	1761359677	40.677044	-73.86505
80 st	117178657	117440792	40.679371	-73.858992
88 st	5568105	8001826	40.679843	-73.85147
rockaway blvd	135662883	8772581	40.680429	-73.843853
broad channel	989094	87359	40.608382	-73.815925
beach 90 st	3264313	3781658	40.588034	-73.813641
beach 98 st	1880772	2116309	40.585307	-73.820558
beach 105 st	117438839	1069060	40.583209	-73.827559
beach 67 st	5377332	4379917	40.590927	-73.796924
beach 60 st	117440841	5449454	40.592374	-73.788522
beach 44 st	1270077	1408834	40.592943	-73.776013
beach 36 st	2248113	1845022	40.595398	-73.768175
beach 25 st	644574741	968273719	40.600066	-73.761353
167 st	1828472231	1828876666	40.833771	-73.91844
170 st	934214575	1150156911	40.839306	-73.9134
174	4452507	2196658	40.8459	-73.910136
tremont av	218828614	167981505	40.85041	-73.905227
182	1474546196	1845230266	40.856093	-73.900741
fordham rd	33626271	9397976	40.861296	-73.897749
kingsbridge rd	705045549	705044479	40.866978	-73.893509
5 av/53 st	14015880	30735453	40.760167	-73.975224
lexington av/53	1476780938	1595844568	40.757552	-73.969055
court sq	2066844476	681487175	40.747846	-73.946
queens plaza	51413149	17231464	40.748973	-73.937243
steinway st	15251289	13482083	40.756879	-73.92074
46 st	6055403	7255089	40.756312	-73.913333
northern blvd	7018795	7623456	40.752885	-73.906006
65 st	3231874	9112419	40.749669	-73.898453
elmhurst av	1625144728	1973067847	40.742454	-73.882017
67 av	11150176	11108251	40.726523	-73.852719
75 av	297424909	942333971	40.718331	-73.837324
sutphin blvd	84287643	3895701	40.70546	-73.810708
parsons blvd	10026226	2709755	40.707564	-73.803326
169 st	7244125	5513546	40.71047	-73.793604
21 st	15855106	10973546	40.744065	-73.949724
greenpoint av	5783909	6672887	40.731352	-73.954449
nassau av	8407220	6162099	40.724635	-73.951277
broadway	37038140	11948452	40.76182	-73.925508
classon av	10061486	8828083	40.688873	-73.96007
47	1924909500	2038078398	40.758663	-73.981329
2 av	67129739	26256314	40.723402	-73.989938
east broadway	101207342	17450921	40.713715	-73.990173
york st	3955510	24515735	40.701397	-73.986751
bergen st	11321088	7611679	40.686145	-73.990862
carroll st	151201992	19959358	40.680303	-73.995048
4 av	11405649	14723225	40.670272	-73.989779
ditmas av	67512904	5020477	40.636119	-73.978172
avenue i	3421965	995535444	40.625322	-73.976127
avenue n	1178984272	134217925	40.61514	-73.974197
avenue p	8072350	8277119	40.608944	-73.973022
avenue x	2724725	6591088	40.58962	-73.97425
neptune av	4109959	807169	40.581011	-73.974574
lexington av/63	1758365633	44582140	40.764629	-73.966113
thirty third st	225196	198940	40.746081	-73.982076
south ferry	117603810	50331650	40.702068	-74.013664
wall st	168647354	235450898	40.706821	-74.0091
franklin st	10681183	9992334	40.719318	-74.006886
houston st	11344597	16492111	40.728251	-74.005367
18 st	102325645	4620155	40.74104	-73.997871
157 st	22553928	9464257	40.834041	-73.94489
191 st	2961749	5496219	40.855225	-73.929412
207 st	135165251	9938120	40.864621	-73.918822
215 st	4012351	169522466	40.869444	-73.915279
231 st	15732894	8251310	40.878856	-73.904834
238 st	8559924	6332274	40.884667	-73.90087
bowling green	1289817545	1343171924	40.704817	-74.014065
brooklyn bridge	388877594	564190085	40.713065	-74.004131
bleecker st	12688885	7247858	40.725915	-73.994659
astor pl	17159783	11373018	40.730054	-73.99107
grd cntrl	1254890743	1509863007	40.751776	-73.976848
51 st	569325935	569316303	40.757107	-73.97192
110 st	10434585	11364869	40.79502	-73.94425
mt eden av	4503731	4355224	40.844434	-73.914685
176 st	6264204	4544945	40.84848	-73.911794
burnside av	607299498	1008519495	40.853453	-73.907684
183 st	1777580229	1863305174	40.858407	-73.903879
mosholu pkwy	452865769	67086717	40.87975	-73.884655
woodlawn	8167764	8331406	40.886037	-73.878751
jackson av	117608566	566483	40.81649	-73.907807
intervale av	8176876	7123666	40.822181	-73.896736
simpson st	117438268	18789354	40.824073	-73.893064
freeman st	169318506	16811659	40.829993	-73.891865
174 st	688243742	301100218	40.837288	-73.887734
e 180 st	13428252	11541623	40.841894	-73.873488
bronx park east	989842976	436299058	40.848828	-73.868457
pelham pkwy	436567270	184721176	40.857192	-73.867615
allerton av	16706518	7846799	40.865462	-73.867352
burke av	4924822	2403374	40.871356	-73.867164
gun hill rd	1325938003	1057642896	40.87785	-73.866256
219 st	902756317	904451177	40.883895	-73.862633
225 st	1953105811	663635238	40.888022	-73.860341
nereid av	7234091	7901822	40.898379	-73.854376
brook av	8342139	9419226	40.807566	-73.91924
cypress av	2013355772	839005509	40.805368	-73.914042
e 149 st	5227975	6741104	40.812118	-73.904098
longwood av	5110088	7780380	40.816104	-73.896435
hunts point av	1123967219	1979815129	40.820948	-73.890549
whitlock av	4697567	3043692	40.826525	-73.886283
elder av	5787734	8539286	40.828584	-73.879159
st lawrence av	6190635	5554655	40.831509	-73.867618
parkchester	168128475	268919920	40.833226	-73.860816
castle hill av	9356977	10214485	40.834255	-73.851222
zerega av	983295	440874	40.836488	-73.847036
middletown rd	4805435	5486030	40.843863	-73.836322
buhre av	3078702	2444125	40.84681	-73.832569
pelham bay park	150996846	9974785	40.852462	-73.828121
39 av	4435166	4465485	40.752882	-73.932755
36 av	17695855	17680567	40.756804	-73.929575
30 av	11988866	22305806	40.766779	-73.921479
52 st	8523919	10429033	40.744149	-73.912549
69 st	9096543	9180897	40.746325	-73.896403
junction blvd	13391642	34326251	40.749145	-73.869527
clark st	10550241	9685152	40.697466	-73.993086
hoyt st	5296437	3645815	40.690545	-73.985065
nevins st	5116016	11877124	40.688246	-73.980492
kingston av	4877740	6444690	40.669399	-73.942161
saratoga av	66206753	16503753	40.661453	-73.916327
junius st	5570186	5184607	40.663515	-73.902447
pennsylvania av	3341388	1082984	40.664635	-73.894895
new lots av	12276459	8039587	40.658733	-73.899232
president st	3325016	2332875	40.667883	-73.950683
sterling st	9519580	9676033	40.662742	-73.95085
winthrop st	16441036	6498709	40.656652	-73.9502
beverly rd	67037781	17092132	40.645098	-73.948959
newkirk av	17385937	14067183	40.639967	-73.948411
morris park	5179357	2631490	40.854364	-73.860495
baychester av	2062397705	167387461	40.878663	-73.838591
tompkinsville	628042	601928	40.636949	-74.074835
