location	entries	exits	latitude	longitude
57 st	1562776138	1293766057	40.763972	-73.97745
49 st	15120657	38183115	40.759901	-73.984139
times sq	1891418150	1428519736	40.754672	-73.986754
34 st	1569676817	2048881888	40.749567	-73.98795
28 st	1174475329	1392647456	40.745494	-73.988691
23 st	1999916336	1931799262	40.741303	-73.989344
14 st	2129009716	1510675562	40.740893	-74.00169
prince st	14034768	11958435	40.724329	-73.997702
canal st	1723378310	2031222635	40.719527	-74.001775
city hall	184945431	17086614	40.713282	-74.006978
cortlandt st	1058665997	871636207	40.710668	-74.011029
rector st	117743848	31273124	40.70722	-74.013342
bowery	2241852	2923112	40.72028	-73.993915
chambers st	2116000156	1712922551	40.713243	-74.003401
fulton st	1662440435	1762910753	40.710374	-74.007582
broad st	6556671	5762607	40.706476	-74.011056
7 av	12642211	14344328	40.67705	-73.972367
botanic garden	5377186	1986962	40.670343	-73.959245
prospect park	1568997185	1568953296	40.661614	-73.962246
parkside av	5184385	8151138	40.655292	-73.961495
church av	856209054	1577746011	40.650527	-73.962982
cortelyou rd	5614084	2452526	40.640927	-73.963891
newkirk plaza	17236145	17040047	40.635082	-73.962793
avenue h	117440649	794726	40.62927	-73.961639
avenue j	9398109	9380971	40.625039	-73.960803
avenue m	100662768	1619317	40.617618	-73.959399
kings hwy	755974987	763625270	40.60867	-73.957734
avenue u	1325340320	687902131	40.5993	-73.955929
neck rd	100663184	798138	40.595246	-73.955161
sheepshead bay	13312249	18726017	40.586896	-73.954155
brighton beach	15758819	13558386	40.577621	-73.961376
ocean pkwy	5898556	5897471	40.576312	-73.968501
borough hall	101168008	6668476	40.693219	-73.989998
dekalb av	1999967254	1999967257	40.690635	-73.981824
atl av	654312254	134263112	40.683666	-73.97881
union st	10953473	12793395	40.677316	-73.98311
prospect av	13008079	13005665	40.665414	-73.992872
25 st	10710892	7718087	40.660397	-73.998091
36 st	100811075	7647133	40.655144	-74.003549
45 st	3869038	7383462	40.648939	-74.010006
53 st	100930469	134024412	40.645069	-74.014034
bay ridge av	8110938	4982989	40.634967	-74.023377
77 st	140795612	24853230	40.629742	-74.02551
86 st	908799519	1875957162	40.622687	-74.028398
8 av	54633908	13098079	40.635064	-74.011719
new utrecht av	5555538	10736305	40.624842	-73.996353
18 av	1946662436	1358439727	40.607954	-74.001736
20 av	7784289	6699791	40.604556	-73.998168
bay pkwy	875451660	1556065688	40.601875	-73.993728
9 av	11347796	11059825	40.646292	-73.994324
50 st	335510309	335388059	40.63626	-73.994791
55 st	4798528	5139788	40.631435	-73.995476
71 st	8416318	8188180	40.619589	-73.998864
79 st	66835566	117201969	40.613501	-74.00061
25 av	3086672	3287861	40.597704	-73.986829
bay 50 st	6775126	7617263	40.588841	-73.983765
6 av	1209304581	1200545651	40.737335	-73.996786
3 av	881971831	1057225203	40.732849	-73.986122
1 av	955727437	998953146	40.730953	-73.981628
bedford av	25071289	30014988	40.717304	-73.956872
lorimer st	9146539	2040282	40.703869	-73.947408
graham av	14497335	11374347	40.714565	-73.944053
grand st	239051208	1406602462	40.711926	-73.94067
montrose av	134852968	7435924	40.707739	-73.93985
morgan av	2640921	1150680	40.706152	-73.933147
jefferson st	7407485	7648759	40.706607	-73.922913
halsey st	73433888	34553016	40.68637	-73.916559
wilson av	7992893	6345061	40.688764	-73.904046
sutter av	8626239	8593294	40.669367	-73.901975
livonia av	6600703	2038315	40.664038	-73.900571
marcy av	117441009	8404590	40.708359	-73.957757
hewes st	8177380	8137993	40.70687	-73.953431
flushing av	16880573	16815239	40.70026	-73.941126
myrtle av	13349427	22306401	40.697207	-73.935657
kosciuszko st	7251816	3871066	40.693342	-73.928814
gates av	5597559	5501179	40.68963	-73.92227
chauncey st	6039962	2260419	40.682893	-73.910456
alabama av	5151297	6266176	40.676992	-73.898654
van siclen av	6645515	8595140	40.678024	-73.891688
cleveland st	569645	526987	40.679947	-73.884639
norwood av	4547370	7081636	40.68141	-73.880039
crescent st	11091522	7157468	40.683194	-73.873785
cypress hills	4249941	2257436	40.689941	-73.87255
75 st	5712479	4216454	40.691324	-73.867139
woodhaven blvd	33554682	11771524	40.693879	-73.851576
104 st	1681105769	978340971	40.695178	-73.84433
111 st	50331857	16776942	40.697418	-73.836345
121 st	1945695325	520187929	40.700492	-73.828294
central av	1928725	3236733	40.697857	-73.927397
fresh pond rd	14269377	5856823	40.706186	-73.895877
metropolitan av	150995027	16079290	40.712792	-73.951418
dyckman st	13197561	11533292	40.865491	-73.927271
190 st	1437607578	1843909456	40.859022	-73.93418
181 st	15948989	20571768	40.851695	-73.937969
175 st	218371260	285567749	40.847391	-73.939704
168 st	53392650	5341011	40.840719	-73.939561
155 st	7661599	6602675	40.830518	-73.941514
145 st	655196796	1445029730	40.824783	-73.944216
135 st	117440806	117440805	40.817894	-73.947649
125 st	1862568867	1409567023	40.811109	-73.952343
116 st	1160086505	235486084	40.805085	-73.954882
cathedral pkwy	67565076	134536194	40.803967	-73.966847
103 st	25453037	43990875	40.796092	-73.961454
96 st	645536423	20611737	40.791642	-73.964696
72 st	689864482	1759644665	40.775594	-73.97641
59 st columbus	1398020047	1222741129	40.76266	-73.967258
42 st	2033817583	1830342284	40.757308	-73.989735
w 4 st	117242936	26241660	40.732338	-74.000495
spring st	342092398	85312343	40.726227	-74.003739
high st	1914971636	1904209674	40.699337	-73.990531
lafayette av	1962342502	318287910	40.686113	-73.973946
franklin av	306162472	2062270306	40.680596	-73.955827
nostrand av	12529807	24677795	40.680438	-73.950426
utica av	102472547	16777216	40.679364	-73.930729
