location	entries	exits	latitude	longitude
57 st	1663146115	1293635502	40.763972	-73.97745
49 st	14524235	51512537	40.759901	-73.984139
times sq	1892108089	1428127248	40.754672	-73.986754
34 st	1569263174	2048102556	40.749567	-73.98795
28 st	1427999703	1880687827	40.745494	-73.988691
23 st	1999160761	1931529833	40.741303	-73.989344
14 st	2129551966	1511069838	40.740893	-74.00169
prince st	13547592	11613936	40.724329	-73.997702
canal st	1949543085	2030936871	40.719527	-74.001775
city hall	184700407	17050636	40.713282	-74.006978
cortlandt st	1058666525	871570855	40.710668	-74.011029
rector st	117674001	16840942	40.70722	-74.013342
bowery	2067725	2738781	40.72028	-73.993915
chambers st	2115716061	1800341730	40.713243	-74.003401
fulton st	1662208788	1762910806	40.710374	-74.007582
broad st	552625973	1897280169	40.706476	-74.011056
7 av	1834966607	772944559	40.67705	-73.972367
botanic garden	5328751	1977259	40.670343	-73.959245
prospect park	1568549495	1568510510	40.661614	-73.962246
parkside av	4958548	7769912	40.655292	-73.961495
church av	855995993	1577500019	40.650527	-73.962982
cortelyou rd	5695525	2581949	40.640927	-73.963891
newkirk plaza	16923885	16870290	40.635082	-73.962793
avenue h	117440627	755678	40.62927	-73.961639
avenue j	9895104	9238641	40.625039	-73.960803
avenue m	100662820	1449711	40.617618	-73.959399
kings hwy	755543305	763625305	40.60867	-73.957734
avenue u	134288147	16777277	40.5993	-73.955929
neck rd	100662776	16875245	40.595246	-73.955161
sheepshead bay	12709295	17768603	40.586896	-73.954155
brighton beach	14477771	12887280	40.577621	-73.961376
ocean pkwy	5898538	5897476	40.576312	-73.968501
borough hall	101077948	14408035	40.693219	-73.989998
dekalb av	1927429385	1141375007	40.690635	-73.981824
atl av	654312700	134263112	40.683666	-73.97881
union st	10569438	12397131	40.677316	-73.98311
prospect av	12776186	12746551	40.665414	-73.992872
25 st	10262494	7536975	40.660397	-73.998091
36 st	100954502	6729369	40.655144	-74.003549
45 st	3647017	6981711	40.648939	-74.010006
53 st	100617628	134058032	40.645069	-74.014034
bay ridge av	7889150	4741083	40.634967	-74.023377
77 st	140177388	24512872	40.629742	-74.02551
86 st	908472450	1876194750	40.622687	-74.028398
8 av	56646642	19753319	40.635064	-74.011719
new utrecht av	2386174	2687698	40.624842	-73.996353
18 av	1675034621	806879313	40.607954	-74.001736
20 av	6805975	6655674	40.604556	-73.998168
bay pkwy	775625569	1698296166	40.601875	-73.993728
9 av	10966313	10995940	40.646292	-73.994324
50 st	13381263	26231544	40.63626	-73.994791
55 st	4720652	4983329	40.631435	-73.995476
71 st	8422608	7861773	40.619589	-73.998864
79 st	67001208	117141780	40.613501	-74.00061
25 av	2883782	2952248	40.597704	-73.986829
bay 50 st	6629628	7337593	40.588841	-73.983765
6 av	1209989583	1200589812	40.737335	-73.996786
3 av	1943132723	1476717068	40.732849	-73.986122
1 av	1629348345	998063568	40.730953	-73.981628
bedford av	23621106	29601220	40.717304	-73.956872
lorimer st	8639996	1924073	40.703869	-73.947408
graham av	13899723	11178406	40.714565	-73.944053
grand st	238403840	1407164743	40.711926	-73.94067
montrose av	134647218	7078723	40.707739	-73.93985
morgan av	2297892	805235	40.706152	-73.933147
jefferson st	8530131	7094210	40.706607	-73.922913
halsey st	73398830	34468665	40.68637	-73.916559
wilson av	7499640	6052117	40.688764	-73.904046
sutter av	8601020	8601451	40.669367	-73.901975
livonia av	6023980	3284865	40.664038	-73.900571
marcy av	117440907	7783472	40.708359	-73.957757
hewes st	7879976	7858487	40.70687	-73.953431
flushing av	16239033	16198313	40.70026	-73.941126
myrtle av	13306559	21914618	40.697207	-73.935657
kosciuszko st	7093743	3687753	40.693342	-73.928814
gates av	3199349	3893238	40.68963	-73.92227
chauncey st	5551855	2117826	40.682893	-73.910456
alabama av	4961865	6010165	40.676992	-73.898654
van siclen av	6508416	8146226	40.678024	-73.891688
cleveland st	626662	289835	40.679947	-73.884639
norwood av	4513155	6833910	40.68141	-73.880039
crescent st	10788417	7235124	40.683194	-73.873785
cypress hills	4190504	2287474	40.689941	-73.87255
75 st	5764345	4256122	40.691324	-73.867139
woodhaven blvd	33554682	11439821	40.693879	-73.851576
104 st	2025790617	1907436714	40.695178	-73.84433
111 st	50331788	16776866	40.697418	-73.836345
121 st	1945403799	519864387	40.700492	-73.828294
central av	1878055	3092826	40.697857	-73.927397
fresh pond rd	14166054	5643454	40.706186	-73.895877
metropolitan av	150994990	16225269	40.712792	-73.951418
dyckman st	12682795	10765811	40.865491	-73.927271
190 st	1438502968	1844243477	40.859022	-73.93418
181 st	15065036	18906336	40.851695	-73.937969
175 st	218302158	285485170	40.847391	-73.939704
168 st	52911869	22272553	40.840719	-73.939561
155 st	7466041	6419237	40.830518	-73.941514
145 st	655179029	1444643135	40.824783	-73.944216
135 st	117440772	117440779	40.817894	-73.947649
125 st	1691570613	789329720	40.811109	-73.952343
116 st	1276366709	1625694106	40.805085	-73.954882
cathedral pkwy	67341442	134357960	40.803967	-73.966847
103 st	36156859	505279229	40.796092	-73.961454
96 st	644368054	18789122	40.791642	-73.964696
72 st	1513678653	1922620773	40.775594	-73.97641
59 st columbus	1397073584	1222568100	40.76266	-73.967258
42 st	2033276512	1830053571	40.757308	-73.989735
w 4 st	117243375	23856640	40.732338	-74.000495
spring st	341044575	85081864	40.726227	-74.003739
high st	1914617766	1905609193	40.699337	-73.990531
lafayette av	8467703	1847998	40.686113	-73.973946
franklin av	305231414	2062478392	40.680596	-73.955827
nostrand av	11993271	23739248	40.680438	-73.950426
utica av	101966117	16777216	40.679364	-73.930729
ralph av	4075149	4356865	40.678822	-73.920786
rockaway av	10363364	6248229	40.67834	-73.911946
broadway jct	16936092	20172614	40.679498	-73.904512
liberty av	5375905	2074926	40.674542	-73.896548
shepherd av	7456772	9024931	40.67413	-73.88075
euclid av	8838400	5340454	40.675377	-73.872106
grant av	1207042809	1761194168	40.677044	-73.86505
80 st	117178599	117440732	40.679371	-73.858992
88 st	5452320	7879184	40.679843	-73.85147
rockaway blvd	135422466	8457546	40.680429	-73.843853
broad channel	972351	84798	40.608382	-73.815925
beach 90 st	3157201	3682257	40.588034	-73.813641
beach 98 st	1838009	2054944	40.585307	-73.820558
beach 105 st	117438847	1031882	40.583209	-73.827559
beach 67 st	5214644	4187762	40.590927	-73.796924
beach 60 st	117440773	5346731	40.592374	-73.788522
beach 44 st	1195965	1355226	40.592943	-73.776013
